Created by SunData for Windows Mobile v2.0.0.1
	
Title     :	penglais l 2013
Location  :	penglais field
	
2014-06-06		
SunScan probe v1.02R (C) JGW 2004/01/19
	
Ext Sensor: BFS
Group   1 :	
	
Time	aber15	sample 	PAR	Spread	Total	Diffuse			Notes	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	 tip 64
12:24:00	1	19	76.6	1.04	438.4	438.4				146	138	126	117	106	97	86	76	68	60	51	42	30	21	14	8	5	4	3	3	2	2	1	0	0	0	0	0	0	0	2	1	2	4	6	6	9	17	22	24	32	41	53	67	75	82	85	94	100	113	135	154	165	170	182	194	204	206	219	239	239	247	247	253
12:24:08	1	20	83.8	1.25	437.2	437.2				99	93	90	85	80	70	63	58	52	45	36	30	26	20	14	11	8	8	6	5	4	4	3	3	2	2	2	2	2	2	2	3	3	4	4	9	11	12	13	13	10	22	27	36	44	57	75	98	117	139	168	194	217	239	254	268	277	287	300	304	300	310	313	313
12:24:29	1	21	85.4	1.08	436.6	436.6				114	102	93	88	88	81	70	61	53	47	40	34	29	23	17	12	13	9	7	6	7	5	6	6	6	6	8	9	8	7	7	8	5	4	4	7	16	21	28	49	57	62	65	68	69	79	86	98	125	152	169	182	198	212	224	232	242	257	270	277	276	285	291	294
12:24:36	1	22	100.5	1.24	436.6	436.6				54	62	63	61	57	51	46	36	26	13	11	14	13	8	4	2	1	1	1	0	0	1	1	1	2	2	3	3	4	5	7	8	10	12	14	24	36	40	41	35	29	37	16	82	132	155	178	203	216	236	255	270	284	300	309	317	320	324	334	336	329	332	333	333
12:24:54	1	23	133.4	0.70	432.3	432.3				265	265	263	261	253	244	234	223	204	191	175	153	135	121	104	84	73	65	53	46	30	29	31	28	23	26	21	19	22	28	27	17	16	24	29	27	18	25	53	78	86	99	117	127	125	114	132	123	108	130	156	184	202	217	233	259	267	271	270	264	243	266	285	284
12:25:03	1	24	132.2	0.70	430.5	430.5				246	236	225	215	202	190	178	163	150	137	126	111	96	81	77	70	62	51	47	46	45	39	34	29	28	30	33	38	39	40	36	36	39	48	53	55	54	61	67	72	76	82	92	101	104	113	118	127	136	143	149	181	238	266	277	285	288	293	302	303	298	302	303	302
12:25:23	1	25	36.4	1.09	428.6	428.6				95	92	83	61	61	58	52	44	38	32	24	17	15	15	11	6	1	1	3	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5	6	7	8	12	14	16	20	21	24	26	31	31	44	48	53	58	65	74	91	96	100	109	116	116	123	129	139
12:25:30	1	26	60.1	1.33	427.4	427.4				36	35	31	27	23	17	12	9	8	11	10	9	8	6	5	5	4	4	3	2	3	3	4	4	3	3	4	3	3	3	4	4	4	5	7	9	13	17	22	31	35	39	45	41	51	62	85	104	115	125	136	142	135	88	147	199	196	207	240	245	244	250	253	254
12:25:45	1	27	48.5	1.20	427.4	427.4				58	53	47	45	43	41	36	31	27	23	20	16	13	11	9	8	5	5	4	2	2	1	1	0	0	0	1	1	1	1	2	3	3	5	6	8	9	11	12	15	19	26	27	31	43	48	50	57	65	76	87	97	107	118	132	141	150	158	168	175	177	185	192	196
12:26:02	1	28	48.4	1.33	423.1	423.1				46	43	41	36	30	25	21	20	15	13	11	9	4	4	3	2	2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	2	3	3	4	6	9	11	13	17	19	26	32	37	46	55	59	70	77	86	91	101	109	118	128	131	133	158	165	171	197	223	231	234
12:26:11	1	29	39.7	1.24	421.3	421.3				44	44	42	40	37	33	22	18	14	9	6	7	6	7	5	4	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	3	6	8	9	10	13	19	21	28	35	41	53	61	66	72	80	87	94	101	107	113	118	125	136	143	145	153	159	163
12:26:21	1	30	58.9	1.28	421.3	421.3				48	46	36	30	25	20	19	17	17	13	8	6	4	3	4	4	3	1	2	1	1	1	1	2	2	2	2	3	2	2	2	2	3	4	6	7	11	13	16	24	26	28	31	49	72	84	91	101	110	121	130	138	148	160	171	179	186	195	207	215	217	227	233	236
