EuroPheno.stock_id,pseudo_rep_no,pheno_date,time_taken,who,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count
35,1,06/02/2015,,others,0.5614,99.3,74.6,
35,2,06/02/2015,,others,0.3786,87.3,68.6,
35,3,06/02/2015,,others,0.1703,65.1,52.6,
36,1,06/02/2015,,others,5.8275,216.3,107.6,
36,2,06/02/2015,,others,0.981,165.5,89.6,
36,3,06/02/2015,,others,2.3081,185.2,91.6,
39,1,06/02/2015,,others,1.283,121.6,73.6,
39,2,06/02/2015,,others,1.3264,121.6,75.6,
39,3,06/02/2015,,others,0.8591,111.4,69.8,
40,1,06/02/2015,,others,0.7628,160.9,108.6,
40,2,06/02/2015,,others,0.4742,120.8,96.6,
40,3,06/02/2015,,others,0.3698,109.7,95.6,
42,1,06/02/2015,,others,0.543,121.8,78.6,
42,2,06/02/2015,,others,1.8991,178.4,97.2,
42,3,06/02/2015,,others,0.6037,122.4,76,
44,1,06/02/2015,,others,0.7527,141.1,104.6,
44,2,06/02/2015,,others,1.0162,147.9,119.6,
44,3,06/02/2015,,others,0.5967,112,91,
46,1,06/02/2015,,others,1.6212,96,66.6,
46,2,06/02/2015,,others,0.2253,106.1,67.6,
46,3,06/02/2015,,others,0.2987,111.1,68.6,
48,1,06/02/2015,,others,0.7465,100.5,73.6,
48,2,06/02/2015,,others,0.6931,105.7,74.6,
48,3,06/02/2015,,others,0.4223,84.6,64.6,
50,1,06/02/2015,,others,0.4242,73.2,58.6,
50,2,06/02/2015,,others,0.4326,76.5,62.6,
50,3,06/02/2015,,others,0.2128,61.1,50.6,
51,1,06/02/2015,,others,0.7218,106.8,83.6,
51,2,06/02/2015,,others,0.5756,157.9,117.4,
51,3,06/02/2015,,others,0.823,144.4,108.6,
53,1,06/02/2015,,others,0.6814,117,74.6,
53,2,06/02/2015,,others,0.6997,98.2,61.6,
53,3,06/02/2015,,others,1.1839,116.9,72.6,
56,1,06/02/2015,,others,1.5052,189.8,99.6,
56,2,06/02/2015,,others,2.385,200.7,101.6,
56,3,06/02/2015,,others,1.7029,216.6,110.6,
57,1,06/02/2015,,others,0.9008,128.4,78.6,
57,2,06/02/2015,,others,0.7622,108.1,67.6,
57,3,06/02/2015,,others,0.1789,77.9,50.8,
58,1,06/02/2015,,others,0.708,141.3,106.6,
58,2,06/02/2015,,others,0.7263,151.6,111.6,
58,3,06/02/2015,,others,0.3705,133.2,95.6,
61,1,06/02/2015,,others,0.3813,95.1,74.6,
61,2,06/02/2015,,others,0.5002,102,78.6,
61,3,06/02/2015,,others,0.5804,81.6,66.6,
62,1,06/02/2015,,others,0.909,141.4,83.6,
62,2,06/02/2015,,others,1.4714,250.4,113.6,
62,3,06/02/2015,,others,2.1874,205,101.6,
