EuroPheno.stock_id,pseudo_rep_no,pheno_date,time_taken,who,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count
35,4,09/07/2015,08:49,eey9,3.14,147,35.6,
36,4,09/07/2015,10:58,eey9,0.96,317,59,
44,4,09/07/2015,11:01,eey9,3.56,459.8,74.7,
53,4,09/07/2015,11:10,eey9,3.76,499.3,89.1,
61,4,09/07/2015,11:15,eey9,2.93,581.8,134.2,
62,4,09/07/2015,11:19,eey9,1.14,512.1,108.8,
56,4,09/07/2015,11:25,eey9,2.24,752.6,116.2,
57,4,09/07/2015,11:28,eey9,1.74,744.3,135.8,
58,4,09/07/2015,11:34,eey9,3.7,661.8,115.5,
48,4,09/07/2015,11:38,eey9,2.1,684.6,147.1,
40,4,09/07/2015,11:52,eey9,3.6,918.3,150.8,
39,4,09/07/2015,11:55,eey9,3.46,733.2,141.7,
42,4,09/07/2015,12:02,eey9,4.26,567.3,92.5,
46,4,09/07/2015,12:05,eey9,1.86,465.1,94.4,
51,4,09/07/2015,12:15,eey9,4.56,457.7,71.9,
50,4,09/07/2015,12:19,eey9,2.64,480.1,101.3,
35,5,20/08/2015,09:08,eey9,2.76,543.6,142.1,
44,5,20/08/2015,09:20,eey9,4.28,860.2,257.2,
53,5,20/08/2015,09:20,eey9,2.58,629.9,159.9,
61,5,20/08/2015,09:28,eey9,3.36,377.8,92.2,
58,5,20/08/2015,09:35,eey9,6.68,571.3,164.7,
57,5,20/08/2015,09:36,eey9,3.02,660.8,167.1,
56,5,20/08/2015,09:39,eey9,3.28,598.8,130.4,
48,5,20/08/2015,09:43,eey9,4.28,462,113.6,
40,5,20/08/2015,09:47,eey9,4.52,843.7,225.9,
39,5,20/08/2015,09:52,eey9,3.2,581.9,127.5,
42,5,20/08/2015,10:03,eey9,5.1,791.1,194.9,
46,5,20/08/2015,10:06,eey9,2.36,470.4,109.2,
51,5,20/08/2015,10:13,eey9,3.86,575.7,152.8,
50,5,20/08/2015,10:17,eey9,5.36,682,198.2,
35,6,16/09/2015,13:47,eey9,3.3,266.8,97.7,9
44,6,16/09/2015,13:49,eey9,5.36,450.2,132.2,2
53,6,16/09/2015,13:58,eey9,2.8,392.4,111.1,5
61,6,16/09/2015,14:01,eey9,3.86,379,123.9,16
58,6,16/09/2015,14:08,eey9,6.22,299.7,105.7,2
57,6,16/09/2015,14:12,eey9,6.42,477.3,128.1,8
56,6,16/09/2015,14:18,eey9,5.56,374.1,91.2,3
48,6,16/09/2015,14:22,eey9,2.5,235.2,70.6,12
40,6,16/09/2015,14:27,eey9,4.82,421.9,127.4,3
39,6,16/09/2015,14:31,eey9,4.06,508.5,152.4,8
