Genotype,Plot,fll_day,year
EMI-11,35,109,2016
EMI-11,48,109,2016
EMI-11,50,109,2016
EMI-11,61,109,2016
Sac-5,40,106,2016
Sac-5,44,106,2016
Sac-5,51,106,2016
Sac-5,58,106,2016
Giganteus,36,102,2016
Giganteus,42,102,2016
Giganteus,56,102,2016
Giganteus,62,102,2016
Goliath,39,106,2016
Goliath,46,106,2016
Goliath,53,106,2016
Goliath,57,106,2016
