Date,site_id,PAR,t_max,t_min,rainfall_mm
01/01/2011,BSBEC,0.2924465934,5.855,2.82,0.8
02/01/2011,BSBEC,0.5404818462,2.421,0.135,0
03/01/2011,BSBEC,1.2119340659,2.85,-1.272,0
04/01/2011,BSBEC,0.3925732747,5.896,-0.604,4
05/01/2011,BSBEC,0.531212044,6.329,3.806,5
06/01/2011,BSBEC,1.0468182857,5.401,-1.909,2
07/01/2011,BSBEC,0.3245514725,8.48,-0.588,15.8
08/01/2011,BSBEC,0.939255033,7.491,2.815,3.2
09/01/2011,BSBEC,1.5153183297,5.674,1.303,0.8
10/01/2011,BSBEC,0.1964792967,8.02,1.394,5.6
11/01/2011,BSBEC,0.6438366593,7.829,2.703,2.8
12/01/2011,BSBEC,0.1714090549,10.05,2.632,29.6
13/01/2011,BSBEC,0.5097291429,10.72,9.14,6.6
14/01/2011,BSBEC,0.8131474286,9.61,7.178,10
15/01/2011,BSBEC,0.1522309451,10.12,8.46,4.4
16/01/2011,BSBEC,0.2934142418,10.42,5.846,8.2
17/01/2011,BSBEC,0.7382998681,7.279,3.496,0
18/01/2011,BSBEC,1.0981993846,6.386,0.605,0
19/01/2011,BSBEC,1.6370940659,7.864,-0.68,0
20/01/2011,BSBEC,1.880943033,6.925,-2.304,0
21/01/2011,BSBEC,1.8571545495,4.962,-4.164,0
22/01/2011,BSBEC,1.3122071209,4.411,-3.202,0
23/01/2011,BSBEC,1.2151147253,6.88,1.253,0
24/01/2011,BSBEC,0.742592967,5.608,3.037,0.4
25/01/2011,BSBEC,0.208803956,6.38,5.391,6.8
26/01/2011,BSBEC,1.1777340659,5.674,2.517,0
27/01/2011,BSBEC,0.7004595165,1.813,0.281,0
28/01/2011,BSBEC,2.3049644835,2.633,-2.477,0
29/01/2011,BSBEC,2.2666082637,1.652,-4.954,0
30/01/2011,BSBEC,2.2171458462,2.749,-4.574,0
31/01/2011,BSBEC,1.7199288791,2.956,-5.862,3.4
01/02/2011,BSBEC,1.3686187253,7.915,3.432,0
02/02/2011,BSBEC,0.3047791648,9.62,3.901,1.4
03/02/2011,BSBEC,1.9626661978,8.95,4.76,0.4
04/02/2011,BSBEC,0.2387488352,10.78,8.21,0
05/02/2011,BSBEC,0.1458783297,10.63,9.36,2.8
06/02/2011,BSBEC,0.2884628571,10.09,8.71,1.4
07/02/2011,BSBEC,0.6103732747,10.12,5.184,0
08/02/2011,BSBEC,2.9761595604,8.8,0.251,0.8
09/02/2011,BSBEC,0.840888,10.55,8.18,5.4
10/02/2011,BSBEC,1.5124288352,9.64,6.219,0
11/02/2011,BSBEC,1.1321920879,10.19,6.173,5.4
12/02/2011,BSBEC,2.4623920879,7.838,4.427,0
13/02/2011,BSBEC,0.5023012747,7.924,4.633,7.8
14/02/2011,BSBEC,1.8321673846,6.349,1.561,0.4
15/02/2011,BSBEC,1.5921075165,6.895,1.435,0.4
16/02/2011,BSBEC,1.878533011,6.925,2.466,0
17/02/2011,BSBEC,2.2500474725,9.85,4.522,0
18/02/2011,BSBEC,1.2612176703,6.809,4.341,1.8
19/02/2011,BSBEC,1.794164044,10.38,5.997,0
20/02/2011,BSBEC,2.5768285714,6.784,4.346,2
21/02/2011,BSBEC,1.6925166593,7.536,4.411,0
22/02/2011,BSBEC,1.5514109011,8.6,4.987,2.4
23/02/2011,BSBEC,0.6475118242,10.29,7.582,2.2
24/02/2011,BSBEC,1.3039120879,10.96,6.881,0.4
25/02/2011,BSBEC,0.5131131429,10.35,6.955,17.6
26/02/2011,BSBEC,2.9714368352,7.737,5.673,0.2
27/02/2011,BSBEC,3.3440115165,7.152,3.856,0.2
28/02/2011,BSBEC,3.6064388571,7.666,0.509,0
01/03/2011,BSBEC,4.4335044396,8.35,0.62,0
02/03/2011,BSBEC,4.6059468132,8.14,-0.492,0
03/03/2011,BSBEC,4.6451725714,9.74,-1.489,0
04/03/2011,BSBEC,4.5258930989,7.239,-0.32,0
05/03/2011,BSBEC,1.8121988571,6.889,-1.114,0
06/03/2011,BSBEC,4.8075112088,6.426,0.322,0
07/03/2011,BSBEC,5.1826201319,9.13,-1.267,0
08/03/2011,BSBEC,3.3276461538,6.915,-1.231,1.4
09/03/2011,BSBEC,4.6874595165,7.641,5.104,0.6
10/03/2011,BSBEC,3.118755956,8.62,5.659,0.2
11/03/2011,BSBEC,1.9745003077,8.58,5.013,0
12/03/2011,BSBEC,0.8259183297,9.01,5.532,9.8
13/03/2011,BSBEC,5.0462956484,7.117,1.889,0
14/03/2011,BSBEC,4.233531956,9.64,0.539,0
15/03/2011,BSBEC,1.5312319121,8.75,6.178,0
16/03/2011,BSBEC,4.2664399121,12.23,5.74,0
17/03/2011,BSBEC,3.3316702418,7.994,2.071,0
18/03/2011,BSBEC,5.7369679121,8.6,1.151,0
19/03/2011,BSBEC,5.9851511209,10.13,0.398,0
20/03/2011,BSBEC,1.4957501538,9.46,3.421,0
21/03/2011,BSBEC,4.6868257582,11.74,7.43,0
22/03/2011,BSBEC,5.828797978,12.84,6.486,0
23/03/2011,BSBEC,5.7126073846,16.62,7.289,0
24/03/2011,BSBEC,6.2949457582,17.09,7.026,0
25/03/2011,BSBEC,6.329072967,14.88,4.901,0
26/03/2011,BSBEC,5.9899418901,10.64,1.248,0
27/03/2011,BSBEC,3.2683782857,11.89,5.779,0
28/03/2011,BSBEC,6.3187334505,13.02,3.002,0
29/03/2011,BSBEC,2.4823313407,13.06,7.884,1
30/03/2011,BSBEC,2.2726974066,10.06,7.954,9.2
31/03/2011,BSBEC,4.5074405275,12.41,8.54,2
01/04/2011,BSBEC,0.9503113846,11.9,10.52,3
02/04/2011,BSBEC,5.8508869451,13.36,7.239,0
03/04/2011,BSBEC,3.9028842198,10.32,6.123,0.4
04/04/2011,BSBEC,1.2304388571,9.56,5.033,10
05/04/2011,BSBEC,0.8642492308,11.48,8.99,3
06/04/2011,BSBEC,7.339263033,17.08,9.25,0
07/04/2011,BSBEC,3.8422198681,12.63,7.652,0
08/04/2011,BSBEC,7.1108117802,14.34,7.097,0
09/04/2011,BSBEC,7.5886694505,19.84,10.07,0
10/04/2011,BSBEC,8.1402226813,18.42,8.37,0
11/04/2011,BSBEC,4.4557793407,12.12,6.355,0.4
12/04/2011,BSBEC,7.4380723516,9.9,5.507,0.4
13/04/2011,BSBEC,2.1673384615,7.737,4.967,1.6
14/04/2011,BSBEC,2.541603956,12.08,7.722,0
15/04/2011,BSBEC,5.4243898022,13.53,7.959,0
16/04/2011,BSBEC,5.2729176264,12.53,5.543,0
17/04/2011,BSBEC,6.7475282637,15.54,4.699,0
18/04/2011,BSBEC,5.7352581099,16.71,9.31,0
19/04/2011,BSBEC,8.6986602198,20.04,7.061,0
20/04/2011,BSBEC,8.1675708132,21.07,10.82,0
21/04/2011,BSBEC,6.9717687033,23.34,11.53,0
22/04/2011,BSBEC,6.325381978,21.81,12.69,1.4
23/04/2011,BSBEC,4.0373066374,13.87,9.57,0
24/04/2011,BSBEC,9.5500712967,14.82,7.108,0
25/04/2011,BSBEC,9.2760582857,16.94,5.543,0
26/04/2011,BSBEC,5.1354348132,14.89,7.117,0
27/04/2011,BSBEC,8.9215991209,15.24,7.4,0
28/04/2011,BSBEC,10.067077978,18.13,4.921,0
29/04/2011,BSBEC,8.786808,17.75,7.708,0
30/04/2011,BSBEC,9.3034206593,19.26,9.6,0
01/05/2011,BSBEC,7.8670309451,18.21,8.13,0
02/05/2011,BSBEC,9.7673293187,17.04,6.632,0
03/05/2011,BSBEC,10.3493678242,15.39,4.664,0
04/05/2011,BSBEC,8.612408967,16.18,4.704,0
05/05/2011,BSBEC,2.6955185934,14.97,10.62,0
06/05/2011,BSBEC,5.1795803077,18.9,11.62,0.4
07/05/2011,BSBEC,4.8070198681,20.09,12.76,7.4
08/05/2011,BSBEC,6.8926747253,15.77,9.88,0.4
09/05/2011,BSBEC,6.1383370549,14.84,10.82,2.2
10/05/2011,BSBEC,4.4118514286,14.66,10.2,1
11/05/2011,BSBEC,8.3404815824,13.49,9.8,0
12/05/2011,BSBEC,6.0835403077,12.58,9.34,0
13/05/2011,BSBEC,5.1471708132,11.96,5.875,0
14/05/2011,BSBEC,5.4230320879,12.85,7.773,3.6
15/05/2011,BSBEC,2.900391033,10.69,8.16,7.6
16/05/2011,BSBEC,8.0998172308,13.63,10.3,0
17/05/2011,BSBEC,3.4271422418,12.61,10.52,6.4
18/05/2011,BSBEC,6.2990869451,12.61,9.67,2
19/05/2011,BSBEC,9.1740192527,13.1,7.723,0
20/05/2011,BSBEC,7.8360812308,13.78,8.1,0
