Genotype,Plot,fll_day,year
EMI-11,35,109,2012
EMI-11,48,109,2012
EMI-11,50,109,2012
EMI-11,61,109,2012
Sac-5,40,106,2012
Sac-5,44,106,2012
Sac-5,51,106,2012
Sac-5,58,106,2012
Giganteus,36,102,2012
Giganteus,42,102,2012
Giganteus,56,102,2012
Giganteus,62,102,2012
Goliath,39,107,2012
Goliath,46,107,2012
Goliath,53,107,2012
Goliath,57,107,2012
