EuroPheno.stock_id,pheno_date,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,canopy_height,stem_count,base_diameter_1,base_diameter_2,stem_diam_half_height,field_flowering_score,time_taken,who
44,07/09/2016,2,3,74,3,,,,,,,10:27,eey9
44,07/09/2016,2,4,70,2.3,,,,,,,10:27,eey9
44,07/09/2016,2,5,69,2.2,,,,,,,10:28,eey9
44,07/09/2016,2,6,75,1.8,,,,,,,10:28,eey9
44,07/09/2016,2,7,79,2.9,,,,,,,10:28,eey9
44,07/09/2016,2,8,81,2.7,,,,,,,10:29,eey9
44,07/09/2016,2,9,77,3.5,,,,,,,10:29,eey9
44,07/09/2016,2,10,58,2.7,,,,,,,10:30,eey9
44,07/09/2016,2,11,25,0.6,,,,,,,10:30,eey9
44,07/09/2016,3,0,,,265,16,70,60,10,0,10:30,eey9
44,07/09/2016,3,1,69,1.7,,,,,,,10:32,eey9
44,07/09/2016,3,2,68,2.6,,,,,,,10:34,eey9
44,07/09/2016,3,3,62,2.2,,,,,,,10:34,eey9
44,07/09/2016,3,4,72,3.3,,,,,,,10:34,eey9
44,07/09/2016,3,5,76,3.5,,,,,,,10:35,eey9
44,07/09/2016,3,6,77,3.7,,,,,,,10:35,eey9
44,07/09/2016,3,7,75,3.7,,,,,,,10:36,eey9
44,07/09/2016,3,8,52,2.7,,,,,,,10:36,eey9
44,07/09/2016,3,9,14,0.1,,,,,,,10:37,eey9
46,07/09/2016,1,0,,,173,68,39,40,6,1,11:28,eey9
46,07/09/2016,1,1,65,1.3,,,,,,,11:31,eey9
46,07/09/2016,1,2,85,1.3,,,,,,,11:32,eey9
46,07/09/2016,1,3,94,1.4,,,,,,,11:32,eey9
46,07/09/2016,1,4,98,2,,,,,,,11:33,eey9
46,07/09/2016,1,5,90,2,,,,,,,11:33,eey9
46,07/09/2016,1,6,89,1.9,,,,,,,11:34,eey9
46,07/09/2016,1,7,67,1.4,,,,,,,11:34,eey9
46,07/09/2016,1,8,39,0.5,,,,,,,11:35,eey9
46,07/09/2016,2,0,,,87,9,20,16,3,0,11:35,eey9
46,07/09/2016,2,1,14,0.8,,,,,,,11:37,eey9
46,07/09/2016,2,2,31,1,,,,,,,11:37,eey9
46,07/09/2016,2,3,49,0.8,,,,,,,11:37,eey9
46,07/09/2016,2,4,66,0.9,,,,,,,11:38,eey9
46,07/09/2016,2,5,75,1.1,,,,,,,11:38,eey9
46,07/09/2016,2,6,85,1.2,,,,,,,11:39,eey9
46,07/09/2016,2,7,63,1.2,,,,,,,11:39,eey9
46,07/09/2016,2,8,30,0.5,,,,,,,11:40,eey9
46,07/09/2016,3,0,,,172,103,42,49,6,2,11:40,eey9
46,07/09/2016,3,1,45,1.4,,,,,,,11:43,eey9
46,07/09/2016,3,2,68,1.5,,,,,,,11:44,eey9
46,07/09/2016,3,3,80,1.5,,,,,,,11:44,eey9
46,07/09/2016,3,4,91,1.6,,,,,,,11:45,eey9
46,07/09/2016,3,5,92,1.8,,,,,,,11:45,eey9
46,07/09/2016,3,6,96,1.9,,,,,,,11:46,eey9
46,07/09/2016,3,7,82,2.1,,,,,,,11:46,eey9
46,07/09/2016,3,8,72,1.7,,,,,,,11:47,eey9
46,07/09/2016,3,9,48,1.2,,,,,,,11:47,eey9
46,07/09/2016,3,10,8,0.2,,,,,,,11:48,eey9
48,07/09/2016,1,0,,,154,70,36,35,6,3,13:36,eey9
48,07/09/2016,1,1,26,2,,,,,,,13:41,eey9
48,07/09/2016,1,2,50,2,,,,,,,13:42,eey9
48,07/09/2016,1,3,58,2.1,,,,,,,13:42,eey9
48,07/09/2016,1,4,62,2.2,,,,,,,13:42,eey9
48,07/09/2016,1,5,61,2.1,,,,,,,13:42,eey9
48,07/09/2016,1,6,48,1.9,,,,,,,13:43,eey9
48,07/09/2016,1,7,22,1.3,,,,,,,13:43,eey9
48,07/09/2016,2,0,,,160,48,26,33,5,3,13:44,eey9
48,07/09/2016,2,1,43,1.6,,,,,,,13:46,eey9
48,07/09/2016,2,2,57,1.9,,,,,,,13:47,eey9
48,07/09/2016,2,3,53,2,,,,,,,13:47,eey9
48,07/09/2016,2,4,57,2,,,,,,,13:48,eey9
48,07/09/2016,2,5,63,1.9,,,,,,,13:48,eey9
48,07/09/2016,2,6,58,1.9,,,,,,,13:48,eey9
48,07/09/2016,2,7,40,1.5,,,,,,,13:48,eey9
48,07/09/2016,2,8,29,0.8,,,,,,,13:49,eey9
48,07/09/2016,2,9,8,0.3,,,,,,,13:49,eey9
48,07/09/2016,3,0,,,129,61,28,32,4,3,13:50,eey9
48,07/09/2016,3,1,41,1.6,,,,,,,13:52,eey9
48,07/09/2016,3,2,56,1.7,,,,,,,13:53,eey9
48,07/09/2016,3,3,46,2,,,,,,,13:53,eey9
48,07/09/2016,3,4,57,1.8,,,,,,,13:54,eey9
48,07/09/2016,3,5,45,1.5,,,,,,,13:54,eey9
48,07/09/2016,3,6,50,1.6,,,,,,,13:54,eey9
48,07/09/2016,3,7,38,1.5,,,,,,,13:55,eey9
48,07/09/2016,3,8,26,1.2,,,,,,,13:55,eey9
48,07/09/2016,3,9,14,0.7,,,,,,,13:55,eey9
50,07/09/2016,1,0,,,163,93,33,43,6,3,12:12,eey9
50,07/09/2016,1,1,35,1.6,,,,,,,13:20,eey9
50,07/09/2016,1,2,50,2,,,,,,,13:21,eey9
50,07/09/2016,1,3,58,1.9,,,,,,,13:21,eey9
50,07/09/2016,1,4,57,1.8,,,,,,,13:22,eey9
50,07/09/2016,1,5,46,1.6,,,,,,,13:22,eey9
50,07/09/2016,1,7,22,1.2,,,,,,,13:22,eey9
50,07/09/2016,2,0,,,138,37,23,20,4,3,13:23,eey9
50,07/09/2016,2,1,19,1.2,,,,,,,13:26,eey9
50,07/09/2016,2,2,44,1.5,,,,,,,13:26,eey9
50,07/09/2016,2,3,54,1.6,,,,,,,13:27,eey9
50,07/09/2016,2,4,63,1.6,,,,,,,13:27,eey9
50,07/09/2016,2,5,62,1.6,,,,,,,13:28,eey9
50,07/09/2016,2,6,54,1.6,,,,,,,13:28,eey9
50,07/09/2016,2,7,44,1.6,,,,,,,13:28,eey9
50,07/09/2016,2,8,25,1.3,,,,,,,13:28,eey9
50,07/09/2016,2,9,21,1.1,,,,,,,13:29,eey9
50,07/09/2016,2,10,10,0.3,,,,,,,13:29,eey9
50,07/09/2016,3,0,,,150,86,38,36,5,3,13:30,eey9
50,07/09/2016,3,1,30,1,,,,,,,13:33,eey9
50,07/09/2016,3,2,40,2,,,,,,,13:34,eey9
50,07/09/2016,3,3,55,1.9,,,,,,,13:34,eey9
50,07/09/2016,3,4,55,2.1,,,,,,,13:35,eey9
50,07/09/2016,3,5,63,1.9,,,,,,,13:35,eey9
50,07/09/2016,3,6,59,1.8,,,,,,,13:35,eey9
50,07/09/2016,3,7,24,1.2,,,,,,,13:36,eey9
51,07/09/2016,1,0,,,270,14,75,64,10,0,11:48,eey9
51,07/09/2016,1,1,69,2.2,,,,,,,11:52,eey9
51,07/09/2016,1,2,78,1.7,,,,,,,11:53,eey9
51,07/09/2016,1,3,74,2.8,,,,,,,11:54,eey9
51,07/09/2016,1,4,69,2.7,,,,,,,11:54,eey9
51,07/09/2016,1,5,72,3.2,,,,,,,11:54,eey9
51,07/09/2016,1,6,77,3.5,,,,,,,11:55,eey9
51,07/09/2016,1,7,79,3.2,,,,,,,11:55,eey9
51,07/09/2016,1,8,77,3.5,,,,,,,11:56,eey9
51,07/09/2016,1,9,71,3.2,,,,,,,11:56,eey9
51,07/09/2016,1,10,50,1.8,,,,,,,11:57,eey9
51,07/09/2016,2,0,,,262,22,48,63,10,0,11:57,eey9
51,07/09/2016,2,1,70,2,,,,,,,12:00,eey9
51,07/09/2016,2,2,70,3,,,,,,,12:02,eey9
51,07/09/2016,2,3,70,3.6,,,,,,,12:02,eey9
51,07/09/2016,2,4,76,3.5,,,,,,,12:02,eey9
51,07/09/2016,2,5,79,3.6,,,,,,,12:03,eey9
51,07/09/2016,2,6,59,3.2,,,,,,,12:03,eey9
51,07/09/2016,2,7,36,0.3,,,,,,,12:03,eey9
51,07/09/2016,3,0,,,247,18,60,59,9,0,12:04,eey9
51,07/09/2016,3,1,80,3.2,,,,,,,12:07,eey9
51,07/09/2016,3,2,70,3.2,,,,,,,12:09,eey9
51,07/09/2016,3,3,72,3.3,,,,,,,12:09,eey9
51,07/09/2016,3,4,78,3.3,,,,,,,12:09,eey9
51,07/09/2016,3,5,89,3.7,,,,,,,12:10,eey9
51,07/09/2016,3,6,79,4,,,,,,,12:11,eey9
51,07/09/2016,3,7,83,3.9,,,,,,,12:11,eey9
51,07/09/2016,3,8,84,3.8,,,,,,,12:11,eey9
51,07/09/2016,3,9,63,3.2,,,,,,,12:11,eey9
51,07/09/2016,3,10,34,1,,,,,,,12:12,eey9
53,07/09/2016,1,0,,,170,58,29,32,5,1,09:49,eey9
53,07/09/2016,1,1,53,1.2,,,,,,,09:53,eey9
53,07/09/2016,1,2,69,1.3,,,,,,,09:54,eey9
53,07/09/2016,1,3,83,1.3,,,,,,,09:54,eey9
53,07/09/2016,1,4,86,1.4,,,,,,,09:54,eey9
53,07/09/2016,1,5,94,1.5,,,,,,,09:54,eey9
53,07/09/2016,1,6,85,1.6,,,,,,,09:55,eey9
53,07/09/2016,1,7,74,1.5,,,,,,,09:55,eey9
53,07/09/2016,1,8,53,1.3,,,,,,,09:56,eey9
53,07/09/2016,1,9,25,0.2,,,,,,,09:56,eey9
53,07/09/2016,2,0,,,173,74,28,45,6,1,09:56,eey9
53,07/09/2016,2,1,62,1.4,,,,,,,09:59,eey9
53,07/09/2016,2,2,83,1.4,,,,,,,10:00,eey9
53,07/09/2016,2,3,90,1.4,,,,,,,10:00,eey9
53,07/09/2016,2,4,95,1.7,,,,,,,10:01,eey9
53,07/09/2016,2,5,95,2,,,,,,,10:01,eey9
53,07/09/2016,2,6,92,1.9,,,,,,,10:01,eey9
53,07/09/2016,2,7,74,1.6,,,,,,,10:02,eey9
53,07/09/2016,2,8,43,0.7,,,,,,,10:02,eey9
53,07/09/2016,3,0,,,162,60,42,40,5,1,10:02,eey9
53,07/09/2016,3,1,40,1.4,,,,,,,10:06,eey9
53,07/09/2016,3,2,67,1.4,,,,,,,10:07,eey9
53,07/09/2016,3,3,88,1.3,,,,,,,10:07,eey9
53,07/09/2016,3,4,93,1.3,,,,,,,10:07,eey9
53,07/09/2016,3,5,94,1.7,,,,,,,10:07,eey9
53,07/09/2016,3,6,98,1.8,,,,,,,10:08,eey9
53,07/09/2016,3,7,96,2,,,,,,,10:08,eey9
53,07/09/2016,3,8,86,1.8,,,,,,,10:09,eey9
53,07/09/2016,3,9,65,1.3,,,,,,,10:09,eey9
53,07/09/2016,3,10,32,0.3,,,,,,,10:09,eey9
56,07/09/2016,1,0,,,260,22,56,52,9,0,13:55,eey9
56,07/09/2016,1,1,35,1.9,,,,,,,13:59,eey9
56,07/09/2016,1,2,65,2.2,,,,,,,14:00,eey9
56,07/09/2016,1,3,89,2.4,,,,,,,14:01,eey9
56,07/09/2016,1,4,85,2.8,,,,,,,14:01,eey9
56,07/09/2016,1,5,86,2.7,,,,,,,14:02,eey9
56,07/09/2016,1,6,56,2.7,,,,,,,14:02,eey9
56,07/09/2016,1,7,37,0.8,,,,,,,14:02,eey9
56,07/09/2016,2,0,,,276,21,50,60,8,0,14:03,eey9
56,07/09/2016,2,1,42,2.2,,,,,,,14:06,eey9
56,07/09/2016,2,2,56,2.3,,,,,,,14:06,eey9
56,07/09/2016,2,3,79,2.3,,,,,,,14:06,eey9
56,07/09/2016,2,4,84,2.3,,,,,,,14:07,eey9
56,07/09/2016,2,5,89,2.2,,,,,,,14:07,eey9
56,07/09/2016,2,6,89,2.3,,,,,,,14:08,eey9
56,07/09/2016,2,7,91,2.3,,,,,,,14:08,eey9
56,07/09/2016,2,8,95,2.5,,,,,,,14:08,eey9
56,07/09/2016,2,9,67,2.4,,,,,,,14:09,eey9
56,07/09/2016,2,10,40,1.2,,,,,,,14:09,eey9
56,07/09/2016,3,0,,,273,26,66,67,10,0,14:09,eey9
56,07/09/2016,3,1,69,2.9,,,,,,,14:13,eey9
56,07/09/2016,3,2,71,2.8,,,,,,,14:14,eey9
56,07/09/2016,3,3,81,2.9,,,,,,,14:14,eey9
56,07/09/2016,3,4,81,2.9,,,,,,,14:15,eey9
56,07/09/2016,3,5,88,2.8,,,,,,,14:15,eey9
56,07/09/2016,3,6,90,3.1,,,,,,,14:16,eey9
56,07/09/2016,3,7,86,3.2,,,,,,,14:16,eey9
56,07/09/2016,3,8,87,3,,,,,,,14:16,eey9
56,07/09/2016,3,9,84,3.2,,,,,,,14:16,eey9
56,07/09/2016,3,10,92,3.2,,,,,,,14:18,eey9
56,07/09/2016,3,11,68,3.2,,,,,,,14:18,eey9
56,07/09/2016,3,12,42,2,,,,,,,14:19,eey9
57,07/09/2016,1,0,,,165,42,34,32,5,1,14:20,eey9
57,07/09/2016,1,1,52,1.2,,,,,,,14:22,eey9
57,07/09/2016,1,2,67,1.2,,,,,,,14:23,eey9
57,07/09/2016,1,3,80,1.3,,,,,,,14:23,eey9
57,07/09/2016,1,4,83,1.3,,,,,,,14:24,eey9
57,07/09/2016,1,5,92,1.4,,,,,,,14:24,eey9
57,07/09/2016,1,6,98,1.4,,,,,,,14:25,eey9
57,07/09/2016,1,7,89,1.6,,,,,,,14:25,eey9
57,07/09/2016,1,8,66,1.4,,,,,,,14:26,eey9
57,07/09/2016,1,9,39,0.5,,,,,,,14:26,eey9
57,07/09/2016,2,0,,,163,45,29,46,5,1,14:26,eey9
57,07/09/2016,2,1,30,1.3,,,,,,,14:29,eey9
57,07/09/2016,2,2,54,1.3,,,,,,,14:29,eey9
57,07/09/2016,2,3,79,1.3,,,,,,,14:29,eey9
57,07/09/2016,2,4,79,1.5,,,,,,,14:30,eey9
57,07/09/2016,2,5,78,1.7,,,,,,,14:30,eey9
57,07/09/2016,2,6,88,1.8,,,,,,,14:31,eey9
57,07/09/2016,2,7,76,1.7,,,,,,,14:31,eey9
57,07/09/2016,2,8,66,1.3,,,,,,,14:32,eey9
57,07/09/2016,2,9,45,1,,,,,,,14:32,eey9
57,07/09/2016,3,0,,,140,36,40,37,3,0,14:32,eey9
57,07/09/2016,3,1,45,1.1,,,,,,,14:35,eey9
57,07/09/2016,3,2,68,1.2,,,,,,,14:35,eey9
57,07/09/2016,3,3,78,1.3,,,,,,,14:36,eey9
57,07/09/2016,3,4,78,1.4,,,,,,,14:36,eey9
57,07/09/2016,3,5,79,1.3,,,,,,,14:36,eey9
57,07/09/2016,3,6,59,1.2,,,,,,,14:37,eey9
57,07/09/2016,3,7,22,0.3,,,,,,,14:37,eey9
58,07/09/2016,1,0,,,282,15,60,55,10,0,14:38,eey9
58,07/09/2016,1,1,69,1.3,,,,,,,14:41,eey9
58,07/09/2016,1,2,73,2,,,,,,,14:43,eey9
58,07/09/2016,1,3,73,2.9,,,,,,,14:43,eey9
58,07/09/2016,1,4,24,2.4,,,,,,,14:45,eey9
58,07/09/2016,1,5,75,4,,,,,,,14:46,eey9
58,07/09/2016,1,6,82,2.8,,,,,,,14:46,eey9
58,07/09/2016,1,7,82,4.2,,,,,,,14:47,eey9
58,07/09/2016,1,8,77,4,,,,,,,14:47,eey9
58,07/09/2016,1,9,77,4,,,,,,,14:47,eey9
58,07/09/2016,1,10,43,2.6,,,,,,,14:47,eey9
58,07/09/2016,2,0,,,290,11,45,30,10,0,14:48,eey9
58,07/09/2016,2,1,55,2.5,,,,,,,14:50,eey9
58,07/09/2016,2,2,75,3.2,,,,,,,14:51,eey9
58,07/09/2016,2,3,73,2.8,,,,,,,14:52,eey9
58,07/09/2016,2,4,73,3.8,,,,,,,14:52,eey9
58,07/09/2016,2,5,76,3.5,,,,,,,14:52,eey9
58,07/09/2016,2,6,77,3.8,,,,,,,14:53,eey9
58,07/09/2016,2,7,80,3.8,,,,,,,14:53,eey9
58,07/09/2016,2,8,71,3.8,,,,,,,14:54,eey9
58,07/09/2016,2,9,64,3.8,,,,,,,14:54,eey9
58,07/09/2016,2,10,47,1.3,,,,,,,14:55,eey9
58,07/09/2016,3,0,,,270,9,56,53,9,0,14:56,eey9
58,07/09/2016,3,1,65,1.8,,,,,,,14:58,eey9
58,07/09/2016,3,2,69,2.4,,,,,,,15:00,eey9
58,07/09/2016,3,3,71,1,,,,,,,15:00,eey9
58,07/09/2016,3,4,76,2,,,,,,,15:00,eey9
58,07/09/2016,3,5,70,2.7,,,,,,,15:01,eey9
58,07/09/2016,3,6,81,3.8,,,,,,,15:01,eey9
58,07/09/2016,3,7,75,3.8,,,,,,,15:02,eey9
58,07/09/2016,3,8,78,4.2,,,,,,,15:02,eey9
58,07/09/2016,3,9,61,3.8,,,,,,,15:03,eey9
58,07/09/2016,3,10,39,1.2,,,,,,,15:03,eey9
61,07/09/2016,1,0,,,140,62,27,27,5,3,09:29,eey9
61,07/09/2016,1,1,40,1.5,,,,,,,09:32,eey9
61,07/09/2016,1,2,51,1.7,,,,,,,09:34,eey9
61,07/09/2016,1,3,54,1.7,,,,,,,09:34,eey9
61,07/09/2016,1,4,57,1.8,,,,,,,09:34,eey9
61,07/09/2016,1,5,56,1.7,,,,,,,09:34,eey9
61,07/09/2016,1,6,45,1.4,,,,,,,09:35,eey9
61,07/09/2016,1,7,33,1.3,,,,,,,09:35,eey9
61,07/09/2016,1,8,16,0.7,,,,,,,09:35,eey9
61,07/09/2016,2,0,,,162,99,26,32,6,3,09:36,eey9
61,07/09/2016,2,1,40,1.3,,,,,,,09:38,eey9
61,07/09/2016,2,2,50,1.7,,,,,,,09:41,eey9
61,07/09/2016,2,3,55,1.8,,,,,,,09:42,eey9
61,07/09/2016,2,4,59,1.9,,,,,,,09:42,eey9
61,07/09/2016,2,5,59,1.9,,,,,,,09:42,eey9
61,07/09/2016,2,6,50,1.5,,,,,,,09:43,eey9
61,07/09/2016,2,7,46,1.5,,,,,,,09:43,eey9
61,07/09/2016,2,8,26,1.1,,,,,,,09:43,eey9
61,07/09/2016,3,0,,,156,67,42,28,5,3,09:44,eey9
61,07/09/2016,3,1,40,1.8,,,,,,,09:46,eey9
61,07/09/2016,3,2,45,2,,,,,,,09:47,eey9
61,07/09/2016,3,3,60,2.1,,,,,,,09:47,eey9
61,07/09/2016,3,4,65,2.1,,,,,,,09:47,eey9
61,07/09/2016,3,5,64,2.1,,,,,,,09:47,eey9
61,07/09/2016,3,6,50,1.6,,,,,,,09:48,eey9
61,07/09/2016,3,7,32,1.3,,,,,,,09:48,eey9
61,07/09/2016,3,8,19,0.7,,,,,,,09:48,eey9
35,04/10/2016,1,0,,,140.0,37,29,30,5.0,5,09:40,eey9
35,04/10/2016,1,1,42.0,1.8,,,,,,,09:41,eey9
35,04/10/2016,1,2,47.0,2.0,,,,,,,09:41,eey9
35,04/10/2016,1,3,58.0,2.4,,,,,,,09:41,eey9
35,04/10/2016,1,4,57.0,2.1,,,,,,,09:42,eey9
35,04/10/2016,1,5,54.0,1.8,,,,,,,09:42,eey9
35,04/10/2016,1,6,41.0,1.6,,,,,,,09:42,eey9
35,04/10/2016,1,7,22.0,0.9,,,,,,,09:43,eey9
35,04/10/2016,2,0,,,131.0,20,17,29,4.0,5,09:43,eey9
35,04/10/2016,2,1,45.0,1.6,,,,,,,09:45,eey9
35,04/10/2016,2,2,46.0,1.7,,,,,,,09:45,eey9
35,04/10/2016,2,3,55.0,1.7,,,,,,,09:45,eey9
35,04/10/2016,2,4,45.0,1.6,,,,,,,09:46,eey9
35,04/10/2016,2,5,50.0,1.7,,,,,,,09:46,eey9
35,04/10/2016,2,6,38.0,1.4,,,,,,,09:46,eey9
35,04/10/2016,2,7,27.0,1.2,,,,,,,09:47,eey9
35,04/10/2016,2,8,16.0,0.7,,,,,,,09:47,eey9
35,04/10/2016,3,0,,,152.0,81,35,30,5.0,5,09:47,eey9
35,04/10/2016,3,1,34.0,1.3,,,,,,,09:50,eey9
35,04/10/2016,3,2,49.0,1.7,,,,,,,09:51,eey9
35,04/10/2016,3,3,56.0,2.0,,,,,,,09:51,eey9
35,04/10/2016,3,4,53.0,1.7,,,,,,,09:51,eey9
35,04/10/2016,3,5,46.0,1.5,,,,,,,09:51,eey9
35,04/10/2016,3,6,31.0,1.3,,,,,,,09:51,eey9
35,04/10/2016,3,7,17.0,0.7,,,,,,,09:52,eey9
39,04/10/2016,1,0,,,173.0,54,36,27,5.0,3,09:49,eey9
39,04/10/2016,1,1,62.0,1.2,,,,,,,09:52,eey9
39,04/10/2016,1,2,89.0,1.2,,,,,,,09:54,eey9
39,04/10/2016,1,3,72.0,1.6,,,,,,,09:54,eey9
39,04/10/2016,1,4,91.0,1.9,,,,,,,09:54,eey9
39,04/10/2016,1,5,92.0,1.9,,,,,,,09:54,eey9
39,04/10/2016,1,6,82.0,1.9,,,,,,,09:55,eey9
39,04/10/2016,1,7,63.0,1.4,,,,,,,09:55,eey9
39,04/10/2016,1,8,29.0,0.6,,,,,,,09:55,eey9
39,04/10/2016,2,0,,,152.0,75,37,39,5.0,3,09:55,eey9
39,04/10/2016,2,1,67.0,1.7,,,,,,,09:58,eey9
39,04/10/2016,2,2,73.0,1.7,,,,,,,09:58,eey9
39,04/10/2016,2,3,80.0,1.7,,,,,,,09:59,eey9
39,04/10/2016,2,4,81.0,1.7,,,,,,,09:59,eey9
39,04/10/2016,2,5,70.0,1.8,,,,,,,09:59,eey9
39,04/10/2016,2,6,77.0,1.7,,,,,,,09:59,eey9
39,04/10/2016,2,7,56.0,1.1,,,,,,,10:00,eey9
39,04/10/2016,3,0,,,170.0,45,46,48,6.0,3,10:02,eey9
39,04/10/2016,3,1,65.0,1.8,,,,,,,10:03,eey9
39,04/10/2016,3,2,77.0,1.8,,,,,,,10:04,eey9
39,04/10/2016,3,3,79.0,1.7,,,,,,,10:04,eey9
39,04/10/2016,3,4,87.0,1.8,,,,,,,10:04,eey9
39,04/10/2016,3,5,76.0,1.8,,,,,,,10:04,eey9
39,04/10/2016,3,6,54.0,1.4,,,,,,,10:05,eey9
39,04/10/2016,3,7,32.0,0.6,,,,,,,10:05,eey9
40,04/10/2016,1,0,,,275.0,9,45,60,8.0,0,09:27,eey9
40,04/10/2016,1,1,64.0,0.9,,,,,,,09:29,eey9
40,04/10/2016,1,2,56.0,1.3,,,,,,,09:32,eey9
40,04/10/2016,1,3,63.0,1.6,,,,,,,09:32,eey9
40,04/10/2016,1,4,68.0,2.3,,,,,,,09:32,eey9
40,04/10/2016,1,5,69.0,2.6,,,,,,,09:33,eey9
40,04/10/2016,1,6,68.0,3.3,,,,,,,09:33,eey9
40,04/10/2016,1,7,69.0,3.0,,,,,,,09:33,eey9
40,04/10/2016,1,8,75.0,3.4,,,,,,,09:34,eey9
40,04/10/2016,1,9,76.0,3.4,,,,,,,09:34,eey9
40,04/10/2016,1,10,63.0,3.5,,,,,,,09:34,eey9
40,04/10/2016,1,11,39.0,1.2,,,,,,,09:35,eey9
40,04/10/2016,2,0,,,293.0,5,20,17,8.0,0,09:35,eey9
40,04/10/2016,2,1,70.0,2.0,,,,,,,09:37,eey9
40,04/10/2016,2,2,71.0,2.3,,,,,,,09:38,eey9
40,04/10/2016,2,3,63.0,2.2,,,,,,,09:38,eey9
40,04/10/2016,2,4,73.0,3.7,,,,,,,09:38,eey9
40,04/10/2016,2,5,75.0,3.3,,,,,,,09:39,eey9
40,04/10/2016,2,6,64.0,2.5,,,,,,,09:39,eey9
40,04/10/2016,2,7,76.0,3.6,,,,,,,09:40,eey9
40,04/10/2016,2,8,74.0,3.2,,,,,,,09:40,eey9
40,04/10/2016,2,9,63.0,3.3,,,,,,,09:40,eey9
40,04/10/2016,2,10,37.0,1.4,,,,,,,09:41,eey9
40,04/10/2016,3,0,,,290.0,13,50,49,7.0,0,09:41,eey9
40,04/10/2016,3,1,59.0,1.5,,,,,,,09:44,eey9
40,04/10/2016,3,2,52.0,1.4,,,,,,,09:45,eey9
40,04/10/2016,3,3,55.0,1.4,,,,,,,09:45,eey9
40,04/10/2016,3,4,66.0,2.7,,,,,,,09:46,eey9
40,04/10/2016,3,5,68.0,2.9,,,,,,,09:46,eey9
40,04/10/2016,3,6,71.0,3.2,,,,,,,09:46,eey9
40,04/10/2016,3,7,69.0,3.2,,,,,,,09:47,eey9
40,04/10/2016,3,8,53.0,2.4,,,,,,,09:47,eey9
40,04/10/2016,3,9,74.0,3.2,,,,,,,09:47,eey9
40,04/10/2016,3,10,76.0,3.5,,,,,,,09:48,eey9
40,04/10/2016,3,11,60.0,3.2,,,,,,,09:48,eey9
40,04/10/2016,3,12,38.0,1.8,,,,,,,09:48,eey9
42,04/10/2016,1,0,,,278.0,27,79,60,9.0,0,10:05,eey9
42,04/10/2016,1,1,79.0,2.9,,,,,,,10:10,eey9
42,04/10/2016,1,2,69.0,1.2,,,,,,,10:11,eey9
42,04/10/2016,1,3,77.0,2.6,,,,,,,10:11,eey9
42,04/10/2016,1,4,83.0,3.0,,,,,,,10:11,eey9
42,04/10/2016,1,5,79.0,3.2,,,,,,,10:12,eey9
42,04/10/2016,1,6,77.0,3.1,,,,,,,10:12,eey9
42,04/10/2016,1,7,58.0,3.2,,,,,,,10:12,eey9
42,04/10/2016,1,8,42.0,2.3,,,,,,,10:13,eey9
42,04/10/2016,2,0,,,285.0,23,67,53,9.0,0,10:13,eey9
42,04/10/2016,2,1,77.0,2.4,,,,,,,10:16,eey9
42,04/10/2016,2,2,90.0,2.4,,,,,,,10:17,eey9
42,04/10/2016,2,3,91.0,2.3,,,,,,,10:17,eey9
42,04/10/2016,2,4,85.0,2.4,,,,,,,10:18,eey9
42,04/10/2016,2,5,83.0,3.1,,,,,,,10:18,eey9
42,04/10/2016,2,6,83.0,3.1,,,,,,,10:18,eey9
42,04/10/2016,2,7,80.0,3.4,,,,,,,10:19,eey9
42,04/10/2016,2,8,81.0,3.1,,,,,,,10:19,eey9
42,04/10/2016,2,9,69.0,3.2,,,,,,,10:19,eey9
42,04/10/2016,2,10,47.0,1.8,,,,,,,10:20,eey9
42,04/10/2016,3,0,,,267.0,18,50,59,9.0,0,10:20,eey9
42,04/10/2016,3,1,50.0,2.1,,,,,,,10:23,eey9
42,04/10/2016,3,2,72.0,2.6,,,,,,,10:23,eey9
42,04/10/2016,3,3,64.0,2.6,,,,,,,10:23,eey9
42,04/10/2016,3,4,77.0,2.6,,,,,,,10:24,eey9
42,04/10/2016,3,5,83.0,2.9,,,,,,,10:24,eey9
42,04/10/2016,3,6,90.0,2.8,,,,,,,10:25,eey9
42,04/10/2016,3,7,87.0,3.2,,,,,,,10:25,eey9
42,04/10/2016,3,8,89.0,3.0,,,,,,,10:25,eey9
42,04/10/2016,3,9,85.0,3.2,,,,,,,10:26,eey9
42,04/10/2016,3,10,84.0,2.8,,,,,,,10:26,eey9
42,04/10/2016,3,11,79.0,2.9,,,,,,,10:26,eey9
42,04/10/2016,3,12,78.0,2.7,,,,,,,10:27,eey9
42,04/10/2016,3,13,59.0,3.0,,,,,,,10:27,eey9
42,04/10/2016,3,14,45.0,1.2,,,,,,,10:28,eey9
44,04/10/2016,1,0,,,274.0,14,75,50,9.0,0,09:52,eey9
44,04/10/2016,1,1,57.0,1.6,,,,,,,09:55,eey9
44,04/10/2016,1,2,35.0,1.5,,,,,,,09:57,eey9
44,04/10/2016,1,3,35.0,1.5,,,,,,,09:58,eey9
44,04/10/2016,1,4,41.0,2.2,,,,,,,09:58,eey9
44,04/10/2016,1,5,75.0,3.1,,,,,,,09:59,eey9
44,04/10/2016,1,6,75.0,3.5,,,,,,,09:59,eey9
44,04/10/2016,1,7,74.0,3.6,,,,,,,09:59,eey9
