EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
61,30/04/2012,,,3,2,11.0,1.6,1,,,,
61,30/04/2012,,,3,3,13.5,0.7,0,,,,
62,30/04/2012,,,0,0,,,,28.0,,,
62,30/04/2012,,,1,0,,,,,,1,0
62,30/04/2012,,,1,1,0.0,0.0,0,,,,
62,30/04/2012,,,1,2,0.0,0.0,0,,,,
62,30/04/2012,,,1,3,15.1,2.0,1,,,,
62,30/04/2012,,,1,4,17.0,1.2,0,,,,
62,30/04/2012,,,1,5,5.5,0.2,0,,,,
62,30/04/2012,,,2,0,,,,,,1,0
62,30/04/2012,,,2,1,0.0,0.0,0,,,,
62,30/04/2012,,,2,2,2.0,0.7,1,,,,
62,30/04/2012,,,2,3,2.2,0.2,0,,,,
62,30/04/2012,,,3,0,,,,,,1,0
62,30/04/2012,,,3,1,6.5,1.0,1,,,,
62,30/04/2012,,,3,2,10.0,1.5,0,,,,
62,30/04/2012,,,3,3,6.5,0.6,0,,,,
35,08/05/2012,,,0,0,,,,29.33333333333335,,,
35,08/05/2012,,,1,0,,,,,,1,0
35,08/05/2012,,,1,2,10.0,1.1,1,,,,
35,08/05/2012,,,1,3,19.5,1.4,1,,,,
35,08/05/2012,,,1,4,18.0,1.0,0,,,,
35,08/05/2012,,,2,0,,,,,,1,0
35,08/05/2012,,,2,2,17.6,1.5,1,,,,
35,08/05/2012,,,2,3,18.9,1.4,0,,,,
35,08/05/2012,,,2,4,9.3,0.3,0,,,,
35,08/05/2012,,,3,0,,,,,,1,0
35,08/05/2012,,,3,2,14.0,1.2,1,,,,
35,08/05/2012,,,3,3,18.0,1.3,0,,,,
35,08/05/2012,,,3,4,12.5,0.5,0,,,,
36,08/05/2012,,,0,0,,,,23.3325,,,
36,08/05/2012,,,1,0,,,,,,1,0
36,08/05/2012,,,1,2,12.2,1.8,1,,,,
36,08/05/2012,,,1,3,21.8,2.1,1,,,,
36,08/05/2012,,,1,4,23.5,2.3,0,,,,
36,08/05/2012,,,1,5,16.1,0.7,0,,,,
36,08/05/2012,,,2,0,,,,,,1,0
36,08/05/2012,,,2,2,13.0,2.1,1,,,,
36,08/05/2012,,,2,3,19.5,2.2,0,,,,
36,08/05/2012,,,2,4,14.0,1.2,0,,,,
36,08/05/2012,,,3,0,,,,,,1,0
36,08/05/2012,,,3,1,6.5,1.1,1,,,,
36,08/05/2012,,,3,2,19.5,2.0,1,,,,
36,08/05/2012,,,3,3,27.0,2.5,0,,,,
36,08/05/2012,,,3,4,16.2,1.2,0,,,,
39,08/05/2012,,,0,0,,,,17.66666666666665,,,
39,08/05/2012,,,1,0,,,,,,1,0
39,08/05/2012,,,1,2,6.0,1.1,1,,,,
39,08/05/2012,,,1,3,16.5,1.5,0,,,,
39,08/05/2012,,,1,4,15.0,1.1,0,,,,
39,08/05/2012,,,1,5,7.5,0.2,0,,,,
39,08/05/2012,,,2,0,,,,,,1,0
39,08/05/2012,,,2,2,4.6,1.0,1,,,,
39,08/05/2012,,,2,3,6.5,1.2,1,,,,
39,08/05/2012,,,2,4,2.0,0.3,0,,,,
39,08/05/2012,,,3,0,,,,,,1,0
39,08/05/2012,,,3,2,0.0,0.0,0,,,,
39,08/05/2012,,,3,3,8.5,0.8,0,,,,
40,08/05/2012,,,0,0,,,,11.335,,,
40,08/05/2012,,,1,0,,,,,,1,0
40,08/05/2012,,,1,1,4.0,1.8,1,,,,
40,08/05/2012,,,1,2,11.0,2.5,1,,,,
40,08/05/2012,,,1,3,14.5,2.8,0,,,,
40,08/05/2012,,,1,4,12.0,1.3,0,,,,
40,08/05/2012,,,2,0,,,,,,1,0
40,08/05/2012,,,2,1,6.0,2.0,1,,,,
40,08/05/2012,,,2,2,16.0,2.5,0,,,,
40,08/05/2012,,,2,3,17.0,2.5,0,,,,
40,08/05/2012,,,2,4,15.5,1.0,0,,,,
40,08/05/2012,,,3,0,,,,,,2,0
40,08/05/2012,,,3,1,3.0,1.2,1,,,,
40,08/05/2012,,,3,2,7.0,0.8,0,,,,
42,08/05/2012,,,0,0,,,,24.8325,,,
42,08/05/2012,,,1,0,,,,,,1,0
42,08/05/2012,,,1,2,14.5,1.8,0,,,,
42,08/05/2012,,,1,3,13.0,0.9,0,,,,
42,08/05/2012,,,2,0,,,,,,1,0
42,08/05/2012,,,2,2,4.6,1.0,1,,,,
42,08/05/2012,,,2,3,10.0,1.3,0,,,,
42,08/05/2012,,,2,4,5.5,0.3,0,,,,
42,08/05/2012,,,3,0,,,,,,1,0
42,08/05/2012,,,3,2,6.0,1.2,1,,,,
42,08/05/2012,,,3,3,13.5,1.9,0,,,,
42,08/05/2012,,,3,4,13.0,1.2,0,,,,
42,08/05/2012,,,3,5,6.0,0.3,0,,,,
44,08/05/2012,,,0,0,,,,17.66666666666665,,,
44,08/05/2012,,,1,0,,,,,,1,0
44,08/05/2012,,,1,1,4.5,1.7,1,,,,
44,08/05/2012,,,1,2,11.5,2.2,0,,,,
44,08/05/2012,,,1,3,9.2,0.6,0,,,,
44,08/05/2012,,,2,0,,,,,,1,0
44,08/05/2012,,,2,1,1.5,1.5,1,,,,
44,08/05/2012,,,2,2,3.5,2.0,1,,,,
44,08/05/2012,,,2,3,7.0,0.8,0,,,,
44,08/05/2012,,,3,0,,,,,,1,0
44,08/05/2012,,,3,1,3.5,1.5,1,,,,
44,08/05/2012,,,3,2,11.0,1.0,0,,,,
44,08/05/2012,,,3,3,4.0,0.4,0,,,,
46,08/05/2012,,,0,0,,,,14.0,,,
46,08/05/2012,,,1,0,,,,,,2,0
46,08/05/2012,,,1,1,2.5,0.5,1,,,,
46,08/05/2012,,,1,2,11.5,1.1,1,,,,
46,08/05/2012,,,1,3,12.0,1.1,0,,,,
46,08/05/2012,,,1,4,5.6,0.2,0,,,,
46,08/05/2012,,,2,0,,,,,,1,0
46,08/05/2012,,,2,1,5.6,0.9,1,,,,
46,08/05/2012,,,2,2,10.0,1.0,0,,,,
46,08/05/2012,,,2,3,6.0,0.4,0,,,,
46,08/05/2012,,,3,0,,,,,,1,0
46,08/05/2012,,,3,1,2.2,0.6,1,,,,
46,08/05/2012,,,3,2,3.6,0.3,0,,,,
48,08/05/2012,,,0,0,,,,38.0,,,
48,08/05/2012,,,1,0,,,,,,1,0
48,08/05/2012,,,1,2,13.0,1.5,1,,,,
48,08/05/2012,,,1,3,20.1,1.7,0,,,,
48,08/05/2012,,,1,4,18.5,0.7,0,,,,
48,08/05/2012,,,1,5,5.0,0.2,0,,,,
48,08/05/2012,,,2,0,,,,,,1,0
48,08/05/2012,,,2,1,5.0,0.9,1,,,,
48,08/05/2012,,,2,2,15.3,1.5,1,,,,
48,08/05/2012,,,2,3,23.0,1.8,0,,,,
48,08/05/2012,,,2,4,16.5,0.3,0,,,,
48,08/05/2012,,,3,0,,,,,,1,0
48,08/05/2012,,,3,1,2.0,0.6,1,,,,
48,08/05/2012,,,3,2,6.5,1.1,0,,,,
48,08/05/2012,,,3,3,8.5,1.3,0,,,,
48,08/05/2012,,,3,4,7.0,0.5,0,,,,
50,08/05/2012,,,0,0,,,,27.0,,,
50,08/05/2012,,,1,0,,,,,,1,0
50,08/05/2012,,,1,2,13.5,1.4,1,,,,
50,08/05/2012,,,1,3,21.1,1.5,0,,,,
50,08/05/2012,,,1,4,16.0,0.7,0,,,,
50,08/05/2012,,,2,0,,,,,,1,0
50,08/05/2012,,,2,2,7.9,1.4,1,,,,
50,08/05/2012,,,2,3,16.0,1.6,1,,,,
50,08/05/2012,,,2,4,17.0,1.4,0,,,,
50,08/05/2012,,,2,5,10.5,0.5,0,,,,
50,08/05/2012,,,3,0,,,,,,1,0
50,08/05/2012,,,3,1,2.0,0.5,1,,,,
50,08/05/2012,,,3,2,8.0,0.9,1,,,,
50,08/05/2012,,,3,3,9.0,0.8,0,,,,
50,08/05/2012,,,3,4,7.0,0.6,0,,,,
