Created by SunData for Windows Mobile v2.0.0.1
	
Title     :	Sample Experiment
Location  :	cae canol
Latitude  :	53.14N	Longitude :	1.63W
2014-06-13		Local time is GMT+1 Hrs
SunScan probe v1.02R (C) JGW 2004/01/19
	
Ext Sensor: BFS		  Leaf Angle Distn Parameter:				1	  Leaf Absorption:		0.85
Group   1 :	group
	
Time	cae canol 	Sample	PAR	Spread	Total	Diffuse			Notes	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	 tip 64

00:26:49	39	3	703.3	0.76	2202.3	0.70	
00:26:56	39	4	338.7	1.00	2235.9	0.70	
00:27:17	39	5	332.7	0.96	1943.5	0.65	
00:27:24	39	6	225.0	0.91	2219.4	0.69	
00:28:05	40	1	560.8	0.97	2309.1	0.69	
00:28:23	40	2	576.9	0.90	2323.8	0.70	
00:28:42	40	3	782.1	0.74	2326.8	0.71	
00:28:55	40	4	907.6	0.83	2326.8	0.71	
00:29:06	40	5	978.4	0.68	2336.0	0.72	
00:29:17	40	6	1504.2	0.46	2357.9	0.72	
