EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,stem_id
511,19/06/2015,10:50,eey9,2,,0,,,,
511,19/06/2015,10:50,eey9,3,,0,,,,
511,19/06/2015,10:50,eey9,4,,1,,53.6,2.7,
511,19/06/2015,10:50,eey9,5,,1,,70.2,3.0,
511,19/06/2015,10:51,eey9,6,,1,,78.2,3.2,
511,19/06/2015,10:51,eey9,7,,0,,56.6,3.2,
512,19/06/2015,10:52,eey9,,166.0,0,31,,,
512,19/06/2015,10:53,eey9,1,,0,,,,
512,19/06/2015,10:54,eey9,2,,0,,,,
512,19/06/2015,10:54,eey9,3,,0,,,,
512,19/06/2015,10:54,eey9,4,,0,,,,
512,19/06/2015,10:54,eey9,5,,1,,71.5,3.3,
512,19/06/2015,10:54,eey9,6,,1,,81.2,3.7,
512,19/06/2015,10:54,eey9,7,,0,,69.6,3.3,
512,19/06/2015,10:55,eey9,8,,0,,49.6,2.7,
513,19/06/2015,10:57,eey9,,162.0,0,32,,,2
513,19/06/2015,10:57,eey9,1,,1,,31.5,2.5,
513,19/06/2015,11:01,eey9,2,,1,,60.0,3.7,
513,19/06/2015,11:02,eey9,3,,1,,74.5,3.2,
513,19/06/2015,11:02,eey9,4,,0,,82.0,3.5,
513,19/06/2015,11:03,eey9,5,,0,,68.2,3.2,
513,19/06/2015,11:03,eey9,6,,0,,42.1,1.6,
501,19/06/2015,11:03,eey9,,87.0,0,65,,,
501,19/06/2015,11:05,eey9,1,,0,,,,
501,19/06/2015,11:05,eey9,2,,0,,,,
501,19/06/2015,11:05,eey9,3,,0,,,,
501,19/06/2015,11:05,eey9,4,,0,,,,
501,19/06/2015,11:05,eey9,5,,1,,43.2,1.7,
501,19/06/2015,11:05,eey9,6,,1,,48.1,1.6,
501,19/06/2015,11:06,eey9,7,,0,,43.2,1.6,
501,19/06/2015,11:06,eey9,8,,0,,27.9,1.1,
502,19/06/2015,11:07,eey9,,94.0,0,57,,,
502,19/06/2015,11:08,eey9,1,,0,,,,
502,19/06/2015,11:08,eey9,2,,0,,,,
502,19/06/2015,11:08,eey9,3,,0,,,,
502,19/06/2015,11:08,eey9,4,,0,,,,
502,19/06/2015,11:08,eey9,5,,0,,,,
502,19/06/2015,11:08,eey9,6,,1,,44.0,1.8,
502,19/06/2015,11:09,eey9,7,,1,,56.2,1.7,
502,19/06/2015,11:09,eey9,8,,0,,44.0,1.7,
502,19/06/2015,11:09,eey9,9,,0,,29.0,1.0,
503,19/06/2015,11:10,eey9,,101.0,0,84,,,
503,19/06/2015,11:11,eey9,1,,0,,,,
503,19/06/2015,11:11,eey9,2,,0,,,,
503,19/06/2015,11:11,eey9,3,,0,,,,
503,19/06/2015,11:11,eey9,4,,1,,48.5,1.7,
503,19/06/2015,11:12,eey9,5,,1,,56.5,1.5,
503,19/06/2015,11:12,eey9,6,,0,,63.4,1.6,
503,19/06/2015,11:13,eey9,7,,0,,40.5,1.5,
503,19/06/2015,11:13,eey9,8,,0,,23.5,0.7,
481,19/06/2015,11:13,eey9,,100.0,0,62,,,
481,19/06/2015,11:15,eey9,1,,0,,,,
481,19/06/2015,11:16,eey9,2,,0,,,,
481,19/06/2015,11:16,eey9,3,,0,,,,
481,19/06/2015,11:16,eey9,4,,0,,,,
481,19/06/2015,11:16,eey9,5,,1,,42.1,2.2,
481,19/06/2015,11:16,eey9,6,,1,,49.2,2.1,
481,19/06/2015,11:16,eey9,7,,1,,53.2,2.0,
481,19/06/2015,11:17,eey9,8,,0,,50.4,1.7,
481,19/06/2015,11:17,eey9,9,,0,,37.4,1.3,
481,19/06/2015,11:17,eey9,10,,0,,16.8,0.7,
482,19/06/2015,11:18,eey9,,82.0,0,50,,,
482,19/06/2015,11:19,eey9,1,,0,,,,
482,19/06/2015,11:19,eey9,2,,0,,,,
482,19/06/2015,11:19,eey9,3,,0,,,,
482,19/06/2015,11:19,eey9,4,,0,,,,
482,19/06/2015,11:19,eey9,5,,1,,35.0,2.2,
482,19/06/2015,11:19,eey9,6,,1,,51.0,1.8,
482,19/06/2015,11:20,eey9,7,,0,,46.6,1.7,
482,19/06/2015,11:20,eey9,8,,0,,36.2,1.5,
482,19/06/2015,11:20,eey9,9,,0,,19.0,0.6,
483,19/06/2015,11:21,eey9,,79.0,0,37,,,
483,19/06/2015,11:22,eey9,1,,0,,,,
483,19/06/2015,11:22,eey9,2,,0,,,,
483,19/06/2015,11:22,eey9,3,,0,,,,
483,19/06/2015,11:22,eey9,4,,0,,,,
483,19/06/2015,11:22,eey9,5,,1,,44.1,1.7,
483,19/06/2015,11:23,eey9,6,,0,,45.0,1.6,
483,19/06/2015,11:23,eey9,7,,0,,37.5,1.3,
483,19/06/2015,11:23,eey9,8,,0,,20.8,1.0,
561,19/06/2015,11:32,eey9,,105.0,0,17,,,
561,19/06/2015,11:33,eey9,1,,0,,,,
561,19/06/2015,11:33,eey9,2,,0,,,,
561,19/06/2015,11:33,eey9,3,,0,,,,
561,19/06/2015,11:33,eey9,4,,1,,46.0,2.8,
561,19/06/2015,11:33,eey9,5,,1,,59.0,1.8,
561,19/06/2015,11:34,eey9,6,,1,,65.5,2.8,
561,19/06/2015,11:35,eey9,7,,0,,54.6,3.0,
561,19/06/2015,11:36,eey9,8,,0,,40.5,1.7,
562,19/06/2015,11:36,eey9,,103.0,0,22,,,
562,19/06/2015,11:37,eey9,1,,0,,,,
562,19/06/2015,11:37,eey9,2,,0,,,,
562,19/06/2015,11:37,eey9,3,,0,,,,
562,19/06/2015,11:37,eey9,4,,0,,,,
562,19/06/2015,11:37,eey9,5,,1,,38.6,1.8,
562,19/06/2015,11:38,eey9,6,,1,,50.4,2.3,
562,19/06/2015,11:38,eey9,7,,0,,51.5,2.6,
562,19/06/2015,11:39,eey9,8,,0,,27.9,1.8,
563,19/06/2015,11:39,eey9,,103.0,0,23,,,
563,19/06/2015,11:40,eey9,1,,0,,,,
563,19/06/2015,11:40,eey9,2,,0,,,,
563,19/06/2015,11:40,eey9,3,,0,,,,
563,19/06/2015,11:40,eey9,4,,1,,60.2,3.0,
563,19/06/2015,11:41,eey9,5,,1,,72.0,3.1,
563,19/06/2015,11:41,eey9,6,,0,,71.3,3.0,
563,19/06/2015,11:42,eey9,7,,0,,43.0,2.7,
571,19/06/2015,11:43,eey9,,86.0,0,25,,,
571,19/06/2015,11:43,eey9,1,,0,,,,
571,19/06/2015,11:45,eey9,2,,0,,,,
571,19/06/2015,11:45,eey9,3,,1,,45.2,1.3,
571,19/06/2015,11:45,eey9,4,,1,,63.7,1.4,
571,19/06/2015,11:45,eey9,5,,0,,47.5,1.4,
571,19/06/2015,11:45,eey9,6,,0,,24.5,0.8,
572,19/06/2015,11:46,eey9,,81.0,0,21,,,
572,19/06/2015,11:46,eey9,1,,0,,,,
572,19/06/2015,11:46,eey9,2,,1,,49.0,1.7,
572,19/06/2015,11:47,eey9,3,,0,,70.5,1.7,
572,19/06/2015,11:48,eey9,4,,0,,50.6,1.4,
572,19/06/2015,11:48,eey9,5,,0,,29.0,0.7,
573,19/06/2015,11:48,eey9,,72.0,0,15,,,
573,19/06/2015,11:49,eey9,1,,0,,,,
573,19/06/2015,11:49,eey9,2,,0,,,,
573,19/06/2015,11:49,eey9,3,,1,,44.5,1.7,
573,19/06/2015,11:50,eey9,4,,1,,65.5,1.9,
573,19/06/2015,11:50,eey9,5,,0,,51.6,1.6,
573,19/06/2015,11:50,eey9,6,,0,,28.5,1.0,
581,19/06/2015,11:51,eey9,,166.0,0,34,,,
581,19/06/2015,11:52,eey9,1,,0,,0.0,0.0,
581,19/06/2015,11:55,eey9,2,,0,,0.0,0.0,
581,19/06/2015,11:55,eey9,3,,0,,,,
581,19/06/2015,11:55,eey9,4,,0,,,,
581,19/06/2015,11:55,eey9,5,,1,,57.8,3.2,
581,19/06/2015,11:55,eey9,6,,1,,70.1,3.2,
581,19/06/2015,11:56,eey9,7,,1,,79.0,3.4,
581,19/06/2015,11:57,eey9,8,,0,,62.0,3.4,
581,19/06/2015,11:57,eey9,9,,0,,38.5,2.7,
582,19/06/2015,11:57,eey9,,147.0,0,11,,,
582,19/06/2015,11:59,eey9,1,,0,,,,
582,19/06/2015,11:59,eey9,2,,0,,,,
582,19/06/2015,11:59,eey9,3,,0,,,,
582,19/06/2015,11:59,eey9,4,,1,,47.5,2.5,
582,19/06/2015,12:00,eey9,5,,1,,58.3,3.0,
582,19/06/2015,12:00,eey9,6,,1,,67.9,3.0,
582,19/06/2015,12:00,eey9,7,,0,,66.3,3.2,
582,19/06/2015,12:01,eey9,8,,0,,53.0,2.5,
583,19/06/2015,12:01,eey9,,135.0,0,24,,,
583,19/06/2015,12:02,eey9,1,,0,,,,
583,19/06/2015,12:03,eey9,2,,0,,,,
583,19/06/2015,12:03,eey9,3,,0,,,,
583,19/06/2015,12:03,eey9,4,,1,,45.6,2.8,
583,19/06/2015,12:03,eey9,5,,1,,60.3,2.8,
583,19/06/2015,12:03,eey9,6,,1,,73.0,3.0,
583,19/06/2015,12:04,eey9,7,,0,,48.7,2.7,
583,19/06/2015,12:05,eey9,8,,0,,30.0,1.5,
621,19/06/2015,12:07,eey9,,102.0,0,19,,,2
621,19/06/2015,12:07,eey9,1,,1,,30.6,1.9,
621,19/06/2015,12:08,eey9,2,,1,,40.6,2.0,
621,19/06/2015,12:08,eey9,3,,1,,51.4,2.1,
621,19/06/2015,12:08,eey9,4,,0,,52.6,2.3,
621,19/06/2015,12:08,eey9,5,,0,,,1.7,
621,19/06/2015,12:08,eey9,6,,0,,12.6,0.2,
621,19/06/2015,12:08,eey9,7,,0,,,,
622,19/06/2015,12:09,eey9,,93.0,0,23,,,
622,19/06/2015,12:09,eey9,1,,0,,,,
622,19/06/2015,12:10,eey9,2,,0,,,,
622,19/06/2015,12:10,eey9,3,,0,,,,
622,19/06/2015,12:10,eey9,4,,1,,42.2,2.2,
622,19/06/2015,12:11,eey9,5,,1,,51.0,2.5,
622,19/06/2015,12:11,eey9,6,,1,,61.5,2.6,
622,19/06/2015,12:11,eey9,7,,0,,47.6,2.3,
622,19/06/2015,12:12,eey9,8,,0,,34.1,1.7,
623,19/06/2015,12:12,eey9,,89.0,0,35,,,
623,19/06/2015,12:13,eey9,1,,0,,0.0,0.0,
623,19/06/2015,12:13,eey9,2,,0,,,,
623,19/06/2015,12:13,eey9,3,,0,,,,
623,19/06/2015,12:13,eey9,4,,0,,,,
623,19/06/2015,12:13,eey9,5,,1,,55.0,2.4,
623,19/06/2015,12:13,eey9,6,,1,,60.3,2.7,
623,19/06/2015,12:14,eey9,7,,0,,58.2,3.0,
623,19/06/2015,12:14,eey9,8,,0,,47.5,0.7,
611,19/06/2015,12:15,eey9,,77.0,0,45,,,
611,19/06/2015,12:16,eey9,1,,0,,,,
611,19/06/2015,12:17,eey9,2,,0,,,,
611,19/06/2015,12:17,eey9,3,,0,,,,
611,19/06/2015,12:17,eey9,4,,1,,32.8,2.0,
611,19/06/2015,12:18,eey9,5,,1,,44.5,1.8,
611,19/06/2015,12:19,eey9,6,,1,,47.4,2.0,
611,19/06/2015,12:19,eey9,7,,0,,52.6,1.9,
611,19/06/2015,12:20,eey9,8,,0,,37.5,1.5,
611,19/06/2015,12:20,eey9,9,,0,,23.9,1.2,
612,19/06/2015,12:20,eey9,,74.0,0,50,,,
612,19/06/2015,12:21,eey9,1,,0,,,,
612,19/06/2015,12:21,eey9,2,,0,,,,
612,19/06/2015,12:21,eey9,3,,0,,,,
612,19/06/2015,12:21,eey9,4,,1,,33.3,1.6,
612,19/06/2015,12:22,eey9,5,,1,,36.2,1.5,
612,19/06/2015,12:22,eey9,6,,0,,37.2,1.7,
612,19/06/2015,12:22,eey9,7,,0,,24.2,1.3,
613,19/06/2015,12:23,eey9,,73.0,0,49,,,
613,19/06/2015,12:24,eey9,1,,0,,,,
613,19/06/2015,12:24,eey9,2,,0,,,,
613,19/06/2015,12:24,eey9,3,,0,,,,
613,19/06/2015,12:24,eey9,4,,1,,25.5,1.7,
613,19/06/2015,12:25,eey9,5,,1,,28.5,1.6,
613,19/06/2015,12:25,eey9,6,,1,,31.7,1.6,
613,19/06/2015,12:25,eey9,7,,0,,23.4,1.3,
613,19/06/2015,12:26,eey9,8,,0,,14.4,0.7,
531,19/06/2015,12:28,eey9,,94.0,0,17,,,
531,19/06/2015,12:29,eey9,1,,0,,,,
531,19/06/2015,12:29,eey9,2,,0,,,,
531,19/06/2015,12:29,eey9,3,,1,,47.8,1.7,
531,19/06/2015,12:29,eey9,4,,1,,68.8,1.8,
531,19/06/2015,12:30,eey9,5,,0,,79.6,1.5,
531,19/06/2015,12:30,eey9,6,,0,,53.9,1.6,
531,19/06/2015,12:31,eey9,7,,0,,27.0,0.8,
532,19/06/2015,12:31,eey9,,73.0,0,19,,,
532,19/06/2015,12:32,eey9,1,,0,,,,
532,19/06/2015,12:34,eey9,2,,0,,,,
532,19/06/2015,12:34,eey9,3,,0,,,,
532,19/06/2015,12:34,eey9,4,,1,,56.3,1.7,
532,19/06/2015,12:34,eey9,5,,0,,56.6,1.8,
532,19/06/2015,12:34,eey9,6,,0,,37.2,1.1,
532,19/06/2015,12:35,eey9,7,,0,,17.6,0.3,
533,19/06/2015,12:35,eey9,,96.0,0,28,,,
533,19/06/2015,12:36,eey9,1,,0,,,,
533,19/06/2015,12:36,eey9,2,,0,,,,
533,19/06/2015,12:36,eey9,3,,0,,,,
533,19/06/2015,12:36,eey9,4,,1,,53.6,1.9,
533,19/06/2015,12:37,eey9,5,,1,,63.2,2.1,
533,19/06/2015,12:37,eey9,6,,0,,70.3,1.8,
533,19/06/2015,12:37,eey9,7,,0,,49.1,1.7,
533,19/06/2015,12:38,eey9,8,,0,,28.2,1.0,
441,19/06/2015,12:40,eey9,,181.0,0,19,,,2
441,19/06/2015,12:42,eey9,1,,1,,32.5,2.5,
441,19/06/2015,12:43,eey9,2,,1,,58.0,2.8,
441,19/06/2015,12:44,eey9,3,,1,,74.2,3.0,
441,19/06/2015,12:44,eey9,4,,0,,81.7,3.4,
441,19/06/2015,12:45,eey9,5,,0,,55.4,3.2,
442,19/06/2015,12:45,eey9,,192.0,0,36,,,
442,19/06/2015,12:46,eey9,1,,0,,,,
442,19/06/2015,12:47,eey9,2,,0,,,,
442,19/06/2015,12:47,eey9,3,,0,,,,
442,19/06/2015,12:47,eey9,4,,1,,57.2,2.2,
442,19/06/2015,12:47,eey9,5,,1,,67.5,3.2,
442,19/06/2015,12:48,eey9,6,,0,,84.4,3.4,
442,19/06/2015,12:49,eey9,7,,0,,83.0,3.5,
442,19/06/2015,12:49,eey9,8,,0,,67.2,3.3,
443,19/06/2015,12:49,eey9,,174.0,0,19,,,
443,19/06/2015,12:52,eey9,1,,0,,,,
443,19/06/2015,12:52,eey9,2,,0,,,,
443,19/06/2015,12:52,eey9,3,,0,,,,
443,19/06/2015,12:52,eey9,4,,0,,,,
443,19/06/2015,12:52,eey9,5,,1,,62.5,2.8,
443,19/06/2015,12:52,eey9,6,,1,,73.2,2.9,
443,19/06/2015,12:53,eey9,7,,0,,71.2,3.1,
443,19/06/2015,12:54,eey9,8,,0,,47.0,2.6,
361,19/06/2015,12:54,eey9,,72.0,0,12,,,2
361,19/06/2015,12:56,eey9,1,,1,,7.3,1.0,
361,19/06/2015,12:57,eey9,2,,1,,22.0,1.5,
361,19/06/2015,12:57,eey9,3,,1,,39.6,1.8,
361,19/06/2015,12:58,eey9,4,,1,,51.1,2.5,
361,19/06/2015,12:58,eey9,5,,0,,39.5,2.1,
361,19/06/2015,12:59,eey9,6,,0,,18.5,0.5,
362,19/06/2015,12:59,eey9,,82.0,0,22,,,
362,19/06/2015,12:59,eey9,1,,0,,,,
362,19/06/2015,13:00,eey9,2,,0,,,,
362,19/06/2015,13:00,eey9,3,,0,,,,
362,19/06/2015,13:00,eey9,4,,0,,,,
362,19/06/2015,13:00,eey9,5,,1,,58.7,3.0,
362,19/06/2015,13:00,eey9,6,,1,,66.5,2.7,
362,19/06/2015,13:00,eey9,7,,0,,57.5,2.7,
362,19/06/2015,13:01,eey9,8,,0,,38.0,1.4,
363,19/06/2015,13:01,eey9,,68.0,0,23,,,
363,19/06/2015,13:02,eey9,1,,0,,,,
363,19/06/2015,13:02,eey9,2,,0,,,,
363,19/06/2015,13:02,eey9,3,,0,,,,
363,19/06/2015,13:02,eey9,4,,1,,27.0,2.7,
363,19/06/2015,13:02,eey9,5,,1,,56.0,2.8,
363,19/06/2015,13:03,eey9,6,,1,,60.6,3.0,
363,19/06/2015,13:03,eey9,7,,0,,44.5,2.4,
351,19/06/2015,13:03,eey9,,75.0,0,34,,,
351,19/06/2015,13:05,eey9,1,,0,,,,
351,19/06/2015,13:05,eey9,2,,0,,,,
351,19/06/2015,13:05,eey9,3,,0,,,,
351,19/06/2015,13:05,eey9,4,,1,,51.8,1.6,
351,19/06/2015,13:06,eey9,5,,1,,53.2,1.7,
351,19/06/2015,13:06,eey9,6,,0,,29.0,1.6,
351,19/06/2015,13:06,eey9,7,,0,,19.2,1.0,
352,19/06/2015,13:07,eey9,,89.0,0,62,,,
352,19/06/2015,13:08,eey9,1,,0,,,,
352,19/06/2015,13:08,eey9,2,,0,,,,
352,19/06/2015,13:08,eey9,3,,0,,,,
352,19/06/2015,13:08,eey9,4,,1,,32.2,1.7,
352,19/06/2015,13:08,eey9,5,,1,,41.2,2.0,
352,19/06/2015,13:09,eey9,6,,1,,49.5,1.9,
352,19/06/2015,13:09,eey9,7,,0,,41.2,1.7,
352,19/06/2015,13:09,eey9,8,,0,,24.6,1.1,
353,19/06/2015,13:10,eey9,,86.0,0,68,,,
353,19/06/2015,13:11,eey9,1,,0,,,,
353,19/06/2015,13:12,eey9,2,,0,,,,
353,19/06/2015,13:12,eey9,3,,0,,,,
353,19/06/2015,13:12,eey9,4,,1,,19.4,1.5,
353,19/06/2015,13:12,eey9,5,,1,,38.4,1.4,
353,19/06/2015,13:12,eey9,6,,0,,42.5,1.3,
353,19/06/2015,13:13,eey9,7,,0,,27.1,1.0,
11,19/06/2015,13:32,eey9,,99.0,0,52,,,
11,19/06/2015,13:33,eey9,1,,0,,,,
11,19/06/2015,13:34,eey9,2,,0,,,,
11,19/06/2015,13:34,eey9,3,,0,,,,
11,19/06/2015,13:34,eey9,4,,1,,54.6,1.6,
11,19/06/2015,13:34,eey9,5,,0,,66.9,1.5,
11,19/06/2015,13:34,eey9,6,,0,,44.1,1.3,
11,19/06/2015,13:35,eey9,7,,0,,21.0,0.6,
12,19/06/2015,13:35,eey9,,103.0,0,33,,,
12,19/06/2015,13:36,eey9,1,,0,,,,
12,19/06/2015,13:36,eey9,2,,0,,,,
12,19/06/2015,13:36,eey9,3,,0,,,,
12,19/06/2015,13:36,eey9,4,,0,,,,
12,19/06/2015,13:36,eey9,5,,1,,52.5,1.7,
12,19/06/2015,13:36,eey9,6,,0,,64.5,1.7,
12,19/06/2015,13:37,eey9,7,,0,,51.2,1.5,
12,19/06/2015,13:37,eey9,8,,0,,28.5,0.9,
13,19/06/2015,13:39,eey9,,98.0,0,39,,,
13,19/06/2015,13:39,eey9,1,,0,,,,
13,19/06/2015,13:40,eey9,2,,0,,,,
13,19/06/2015,13:40,eey9,3,,1,,55.5,1.6,
13,19/06/2015,13:40,eey9,4,,1,,72.7,2.2,
13,19/06/2015,13:41,eey9,5,,0,,66.0,1.8,
13,19/06/2015,13:42,eey9,6,,0,,39.3,1.3,
21,19/06/2015,13:42,eey9,,79.0,0,20,,,
21,19/06/2015,13:43,eey9,1,,0,,,,
21,19/06/2015,13:45,eey9,2,,0,,,,
21,19/06/2015,13:46,eey9,3,,1,,59.5,2.8,
21,19/06/2015,13:46,eey9,4,,1,,63.0,3.0,
