EuroPheno.stock_id,pseudo_rep_no,pheno_date,time_taken,who,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count
35,4,16/05/2011,,others,0.0459,45.9,10.9,
36,4,16/05/2011,,others,0.0087,8.7,1.7,
39,4,16/05/2011,,others,0.1163,116.3,18,
40,4,16/05/2011,,others,0.002,2,0.5,
42,4,16/05/2011,,others,0.6206,620.6,93.8,
44,4,16/05/2011,,others,0.0485,48.5,7.1,
46,4,16/05/2011,,others,0.0958,95.8,15.4,
48,4,16/05/2011,,others,0.1107,110.7,19.8,
50,4,16/05/2011,,others,0.2193,219.3,42.6,
51,4,16/05/2011,,others,0.0804,80.4,11.2,
53,4,16/05/2011,,others,0.0411,41.1,5.8,
56,4,16/05/2011,,others,0.7635,763.5,116,
57,4,16/05/2011,,others,0.4155,415.5,62.8,
58,4,16/05/2011,,others,0.1042,104.2,15.7,
61,4,16/05/2011,,others,0.043,43,8.6,
62,4,16/05/2011,,others,0.0582,58.2,10.8,
35,5,04/07/2011,,others,1.9462,187.9,44.1,
36,5,04/07/2011,,others,0.5313,217.4,35.9,
39,5,04/07/2011,,others,0.5622,103,21.5,
40,5,04/07/2011,,others,0.5362,166.9,30,
50,5,04/07/2011,,others,0.2193,68.7,15.6,
51,5,04/07/2011,,others,2.0576,189.3,39.1,
53,5,04/07/2011,,others,3.147,172.1,40,
56,5,04/07/2011,,others,2.4464,184.4,29.8,
42,5,19/07/2011,,others,0.0645,64.5,11.1,
44,5,19/07/2011,,others,0.1222,69.2,16.4,
46,5,19/07/2011,,others,0.1256,79.9,19,
48,5,19/07/2011,,others,1.6695,200.3,50.6,
57,5,19/07/2011,,others,0.0197,18.8,3.1,
58,5,19/07/2011,,others,0.4543,141.5,32.7,
61,5,19/07/2011,,others,0.6734,145.6,38.6,
62,5,19/07/2011,,others,1.63,116.6,27.2,
35,6,05/09/2011,,others,0.4276,88.3,27.6,
36,6,05/09/2011,,others,3.8141,255.9,82.6,
39,6,05/09/2011,,others,0.8206,160.3,39.3,
40,6,05/09/2011,,others,1.7087,153.3,46.4,
42,6,05/09/2011,,others,4.1443,137.4,41.6,
44,6,05/09/2011,,others,1.0611,137.3,39.2,
46,6,05/09/2011,,others,1.9361,118.6,34.3,
48,6,05/09/2011,,others,0.1905,81.2,24.8,
50,6,05/09/2011,,others,1.3089,109.7,37.9,
51,6,05/09/2011,,others,0.9824,136.9,38.1,
53,6,05/09/2011,,others,4.1331,139.4,38.7,
56,6,05/09/2011,,others,0.8427,115.2,33.7,
57,6,05/09/2011,,others,0.5242,138.1,32.6,
58,6,05/09/2011,,others,2.5583,171.5,49.2,
61,6,05/09/2011,,others,1.6048,115.6,40.1,
62,6,05/09/2011,,others,3.4168,127.1,47.1,
35,7,14/11/2011,,others,0.9443,129.6,62.4,
36,7,14/11/2011,,others,3.2351,141.9,54.9,
39,7,14/11/2011,,others,1.7599,179.2,73.6,
40,7,14/11/2011,,others,1.6077,233.8,83,
42,7,14/11/2011,,others,2.2086,177.4,58.5,
44,7,14/11/2011,,others,0.1252,81.5,30.2,
46,7,14/11/2011,,others,0.1243,73,27.7,
48,7,14/11/2011,,others,0.6418,139.4,68.6,
50,7,14/11/2011,,others,0.1036,26.5,11.3,
51,7,14/11/2011,,others,1.203,210.9,82.5,
53,7,14/11/2011,,others,1.6321,146.1,64.5,
56,7,14/11/2011,,others,1.0167,207.4,89.1,
57,7,14/11/2011,,others,3.1346,182.6,73.6,
58,7,14/11/2011,,others,1.2107,205.3,84.3,
61,7,14/11/2011,,others,0.7987,140,65.5,
62,7,14/11/2011,,others,2.6328,164.2,61.2,
35,8,24/01/2012,,others,0.6574,93.4,49.2,
36,8,24/01/2012,,others,0.3825,109.8,41,
39,8,24/01/2012,,others,1.2429,164.5,75.9,
40,8,24/01/2012,,others,0.2263,87.6,33,
42,8,24/01/2012,,others,2.2895,132.5,60.6,
44,8,24/01/2012,,others,0.9064,123.5,56.8,
46,8,24/01/2012,,others,0.8521,120.4,62.6,
48,8,24/01/2012,,others,0.3551,106.1,66.7,
50,8,24/01/2012,,others,0.4387,107.3,55.2,
51,8,24/01/2012,,others,0.6889,113.4,54.7,
53,8,24/01/2012,,others,1.0347,95.5,45.5,
56,8,24/01/2012,,others,0.9053,113,41.9,
57,8,24/01/2012,,others,1.2986,123.38,54.7,
58,8,24/01/2012,,others,0.1921,70.5,28.3,
61,8,24/01/2012,,others,0.0421,14.4,8.5,
62,8,24/01/2012,,others,0.6824,122.22,54.4,
35,0,24/01/2012,,others,6.187,247,178,
36,0,24/01/2012,,others,11.996,423.9,195.4,
39,0,24/01/2012,,others,9.723,404.6,233.6,
40,0,24/01/2012,,others,7.763,432,245.3,
42,0,24/01/2012,,others,24.847,427.5,206.2,
44,0,24/01/2012,,others,6.573,656.3,327.7,
46,0,24/01/2012,,others,9.468,408.2,258.7,
48,0,24/01/2012,,others,4.575,348.5,250.2,
50,0,24/01/2012,,others,3.183,370.6,263,
51,0,24/01/2012,,others,5.083,697.7,359.2,
53,0,24/01/2012,,others,7.105,360.1,239.5,
56,0,24/01/2012,,others,26.791,434.9,206.6,
57,0,24/01/2012,,others,8.072,392.7,238.1,
58,0,24/01/2012,,others,4.233,619.6,306.4,
61,0,24/01/2012,,others,1.956,391.1,278.7,
62,0,24/01/2012,,others,17.919,676.3,314.9,
