EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
35,28/04/2015,12:40,eey9,1,0,,,,10,16,1,0
35,28/04/2015,12:40,eey9,1,1,6,0.9,1,,,,
35,28/04/2015,12:41,eey9,1,2,8,1.2,0,,,,
35,28/04/2015,12:41,eey9,1,3,9.5,0.4,0,,,,
35,28/04/2015,12:42,eey9,2,0,,,,8,25,1,0
35,28/04/2015,12:42,eey9,2,1,4,0.9,1,,,,
35,28/04/2015,12:43,eey9,2,2,10,1.1,0,,,,
35,28/04/2015,12:43,eey9,2,3,10,0.9,0,,,,
35,28/04/2015,12:44,eey9,2,4,3,0.4,0,,,,
35,28/04/2015,12:44,eey9,3,0,,,,16,28,1,0
35,28/04/2015,12:44,eey9,3,1,8,0.8,1,,,,
35,28/04/2015,12:45,eey9,3,2,12.8,0.9,0,,,,
35,28/04/2015,12:45,eey9,3,3,9.8,0.5,0,,,,
39,28/04/2015,11:16,eey9,1,0,,,,3,30,1,0
39,28/04/2015,11:16,eey9,1,1,13.5,1.1,1,,,,
39,28/04/2015,11:16,eey9,1,2,14,1.1,0,,,,
39,28/04/2015,11:17,eey9,1,3,8.8,0.6,0,,,,
39,28/04/2015,11:17,eey9,2,0,,,,5,30,1,0
39,28/04/2015,11:17,eey9,2,1,4.5,0.7,1,,,,
39,28/04/2015,11:19,eey9,2,2,11.5,0.8,1,,,,
39,28/04/2015,11:19,eey9,2,3,12.3,0.8,0,,,,
39,28/04/2015,11:20,eey9,2,4,10.5,0.8,0,,,,
39,28/04/2015,11:21,eey9,3,0,,,,7,29,1,0
39,28/04/2015,11:21,eey9,3,1,11.3,0.8,1,,,,
39,28/04/2015,11:22,eey9,3,2,15.2,1,0,,,,
39,28/04/2015,11:22,eey9,3,3,9,0.5,0,,,,
40,28/04/2015,11:12,eey9,1,0,,,,1,15,1,0
40,28/04/2015,11:12,eey9,1,1,10,2,1,,,,
40,28/04/2015,11:13,eey9,1,2,11,2,0,,,,
40,28/04/2015,11:13,eey9,1,3,6,0.3,0,,,,
44,28/04/2015,12:32,eey9,1,0,,,,1,12,1,0
44,28/04/2015,12:32,eey9,1,1,6.2,1.1,1,,,,
44,28/04/2015,12:33,eey9,1,2,6,1.5,0,,,,
44,28/04/2015,12:34,eey9,1,3,5.8,0.5,0,,,,
44,28/04/2015,12:34,eey9,2,0,,,,5,10,1,0
44,28/04/2015,12:34,eey9,2,1,2.5,0.7,1,,,,
44,28/04/2015,12:35,eey9,2,2,9,2,0,,,,
44,28/04/2015,12:36,eey9,2,3,9,2.1,0,,,,
44,28/04/2015,12:36,eey9,2,4,7.3,1,0,,,,
44,28/04/2015,12:36,eey9,3,0,,,,15,3,1,0
44,28/04/2015,12:36,eey9,3,1,3.5,1.3,1,,,,
44,28/04/2015,12:38,eey9,3,2,7,1.2,0,,,,
46,28/04/2015,11:28,eey9,1,0,,,,23,35,1,0
46,28/04/2015,11:28,eey9,1,1,9.5,1.1,1,,,,
46,28/04/2015,11:29,eey9,1,2,12,1.2,0,,,,
46,28/04/2015,11:30,eey9,1,3,11.4,0.8,0,,,,
46,28/04/2015,11:42,eey9,3,0,,,,16,23,1,0
46,28/04/2015,11:42,eey9,3,1,12.4,1,1,,,,
46,28/04/2015,11:44,eey9,3,2,13.5,1,0,,,,
46,28/04/2015,11:44,eey9,3,3,11.5,0.5,0,,,,
48,28/04/2015,11:57,eey9,1,0,,,,34,29,1,0
48,28/04/2015,11:57,eey9,1,1,2.5,1,1,,,,
48,28/04/2015,11:57,eey9,1,2,9,1.4,0,,,,
48,28/04/2015,12:00,eey9,1,3,12.5,1.4,0,,,,
