Genotype,Plot,fll_day,year
EMI-11,35,109,2011
EMI-11,48,109,2011
EMI-11,50,109,2011
EMI-11,61,109,2011
Sac-5,40,109,2011
Sac-5,44,109,2011
Sac-5,51,102,2011
Sac-5,58,102,2011
Giganteus,36,102,2011
Giganteus,42,102,2011
Giganteus,56,102,2011
Giganteus,62,102,2011
Goliath,39,109,2011
Goliath,46,109,2011
Goliath,53,102,2011
Goliath,57,109,2011
