Date,site_id,PAR,t_max,t_min,rainfall_mm
01/01/2015,BSBEC,0.458154989,11.96,9.46,11.457
02/01/2015,BSBEC,1.6943601758,10.91,5.34,1.005
03/01/2015,BSBEC,0.6068563516,6.516,0.201,10.854
04/01/2015,BSBEC,0.8339783736,5.931,-1.119,0.201
05/01/2015,BSBEC,0.677307956,8.95,5.714,0
06/01/2015,BSBEC,1.2903483956,8.63,4.624,4.02
07/01/2015,BSBEC,0.3832591648,10.43,5.401,5.226
08/01/2015,BSBEC,1.0613401319,9.96,5.871,12.462
09/01/2015,BSBEC,0.2269178901,11.66,6.991,5.829
10/01/2015,BSBEC,1.1194916044,10.86,4.704,2.814
11/01/2015,BSBEC,0.2542043077,7.395,4.29,2.01
12/01/2015,BSBEC,0.194994989,9.38,5.007,8.844
13/01/2015,BSBEC,0.7536588132,6.926,-0.143,10.251
14/01/2015,BSBEC,0.850251956,8.88,0.63,3.618
15/01/2015,BSBEC,0.9585470769,9.41,2.936,9.246
16/01/2015,BSBEC,1.191637978,5.82,2.84,0.603
17/01/2015,BSBEC,1.1212947692,5.27,1.499,1.407
18/01/2015,BSBEC,1.3080137143,4.633,-1.535,1.809
19/01/2015,BSBEC,2.1595664176,4.487,-4.129,0
20/01/2015,BSBEC,0.8892973187,3.628,-1.14,0
21/01/2015,BSBEC,1.0633877802,4.128,1.485,0.201
22/01/2015,BSBEC,2.3186769231,5.305,-0.685,0
23/01/2015,BSBEC,0.4803143736,8.66,-0.502,6.834
24/01/2015,BSBEC,2.0538118681,6.865,4.007,0.201
25/01/2015,BSBEC,0.5875927912,8.6,5.351,0.201
26/01/2015,BSBEC,1.9862584615,8.55,5.482,7.035
27/01/2015,BSBEC,0.8923711648,6.375,5.441,0.603
28/01/2015,BSBEC,1.796240967,8.37,3.472,4.623
29/01/2015,BSBEC,0.7780193407,3.805,1.809,2.211
30/01/2015,BSBEC,1.645556044,6.401,2.168,3.819
31/01/2015,BSBEC,1.4047310769,5.057,2.921,2.412
01/02/2015,BSBEC,2.4598404396,5.92,-0.482,0.201
02/02/2015,BSBEC,1.5023021538,3.214,-3.515,0
03/02/2015,BSBEC,3.4482437802,6.532,-3.758,0
04/02/2015,BSBEC,3.2192204835,5.941,-1.818,0.201
