EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
35,06/06/2014,,eey9,1,0,,,,65,64,,
35,06/06/2014,,eey9,1,1,12,1.4,1,,,,
35,06/06/2014,,eey9,1,2,32.7,1.4,1,,,,
35,06/06/2014,,eey9,1,3,41.5,1.5,0,,,,
35,06/06/2014,,eey9,1,4,28.7,1.8,0,,,,
35,13/06/2014,,eey9,1,0,,,,68,84,,
35,13/06/2014,,eey9,1,1,12,1.4,1,,,,
35,13/06/2014,,eey9,1,2,32.7,1.4,1,,,,
35,13/06/2014,,eey9,1,3,41.5,1.5,0,,,,
35,13/06/2014,,eey9,1,4,43.3,1.6,0,,,,
35,13/06/2014,,eey9,1,5,27.1,1.3,0,,,,
35,22/06/2014,,eey9,1,0,,,,73,106,,
35,22/06/2014,,eey9,1,1,12,1.4,1,,,,
35,22/06/2014,,eey9,1,2,32.7,1.4,1,,,,
35,22/06/2014,,eey9,1,3,41.5,1.5,0,,,,
35,22/06/2014,,eey9,1,4,59.4,1.7,1,,,,
35,22/06/2014,,eey9,1,5,49.4,1.7,0,,,,
35,22/06/2014,,eey9,1,6,36,1.4,0,,,,
35,22/06/2014,,eey9,1,7,12.3,0.3,0,,,,
35,26/06/2014,,eey9,1,0,,,,79,108,,
35,26/06/2014,,eey9,1,1,12,1.4,1,,,,
35,26/06/2014,,eey9,1,2,32.7,1.4,1,,,,
35,26/06/2014,,eey9,1,3,41.5,1.5,0,,,,
35,26/06/2014,,eey9,1,4,59.4,1.7,1,,,,
35,26/06/2014,,eey9,1,5,59.8,1.7,0,,,,
35,26/06/2014,,eey9,1,6,42.6,1.8,0,,,,
35,26/06/2014,,eey9,1,7,28.9,1,0,,,,
35,04/07/2014,,eey9,1,0,,,,92,125,,
35,04/07/2014,,eey9,1,1,12,1.4,1,,,,
35,04/07/2014,,eey9,1,2,32.7,1.4,1,,,,
35,04/07/2014,,eey9,1,3,41.5,1.5,0,,,,
35,04/07/2014,,eey9,1,4,59.4,1.7,1,,,,
35,04/07/2014,,eey9,1,5,59.8,1.7,1,,,,
35,04/07/2014,,eey9,1,6,57.6,1.8,0,,,,
35,04/07/2014,,eey9,1,7,47.8,1.8,0,,,,
35,04/07/2014,,eey9,1,8,25.9,0.8,0,,,,
35,07/07/2014,,eey9,1,0,,,,90,129,,
35,07/07/2014,,eey9,1,1,12,1.4,1,,,,
35,07/07/2014,,eey9,1,2,32.7,1.4,1,,,,
35,07/07/2014,,eey9,1,3,41.5,1.5,0,,,,
35,07/07/2014,,eey9,1,4,59.4,1.7,1,,,,
35,07/07/2014,,eey9,1,5,59.8,1.7,1,,,,
35,07/07/2014,,eey9,1,6,61,1.9,1,,,,
35,07/07/2014,,eey9,1,7,49.6,1.6,0,,,,
35,07/07/2014,,eey9,1,8,27.1,1.2,0,,,,
35,07/07/2014,,eey9,1,9,6.2,0.1,0,,,,
35,14/07/2014,,eey9,1,0,,,,87,137,,
35,14/07/2014,,eey9,1,1,12,1.4,1,,,,
35,14/07/2014,,eey9,1,2,32.7,1.4,1,,,,
35,14/07/2014,,eey9,1,3,41.5,1.5,0,,,,
35,14/07/2014,,eey9,1,4,59.4,1.7,1,,,,
35,14/07/2014,,eey9,1,5,59.8,1.7,1,,,,
35,14/07/2014,,eey9,1,6,61,1.9,1,,,,
35,14/07/2014,,eey9,1,7,57.3,1.7,1,,,,
35,14/07/2014,,eey9,1,8,42.8,1.4,0,,,,
35,14/07/2014,,eey9,1,9,22.6,0.7,0,,,,
35,25/07/2014,,eey9,1,0,,,,84,156,,
35,25/07/2014,,eey9,1,1,12,1.4,1,,,,
35,25/07/2014,,eey9,1,2,32.7,1.4,1,,,,
35,25/07/2014,,eey9,1,3,41.5,1.5,0,,,,
35,25/07/2014,,eey9,1,4,59.4,1.7,1,,,,
35,25/07/2014,,eey9,1,5,59.8,1.7,1,,,,
35,25/07/2014,,eey9,1,6,61,1.9,1,,,,
35,25/07/2014,,eey9,1,7,57.3,1.7,1,,,,
35,25/07/2014,,eey9,1,8,43.1,1.5,1,,,,
35,25/07/2014,,eey9,1,9,28.3,1.1,1,,,,
35,25/07/2014,,eey9,1,10,10.3,0.5,0,,,,
35,30/07/2014,,eey9,1,0,,,,93,165,,
35,30/07/2014,,eey9,1,1,12,1.4,1,,,,
35,30/07/2014,,eey9,1,2,32.7,1.4,1,,,,
35,30/07/2014,,eey9,1,3,41.5,1.5,0,,,,
35,30/07/2014,,eey9,1,4,59.4,1.7,1,,,,
35,30/07/2014,,eey9,1,5,59.8,1.7,1,,,,
35,30/07/2014,,eey9,1,6,61,1.9,1,,,,
35,30/07/2014,,eey9,1,7,57.3,1.7,1,,,,
35,30/07/2014,,eey9,1,8,43.1,1.5,1,,,,
35,30/07/2014,,eey9,1,9,28.3,1.1,1,,,,
35,30/07/2014,,eey9,1,10,11.8,0.5,1,,,,
35,08/08/2014,,eey9,1,0,,,,93,165,,
35,08/08/2014,,eey9,1,1,12,1.4,1,,,,
35,08/08/2014,,eey9,1,2,32.7,1.4,1,,,,
35,08/08/2014,,eey9,1,3,41.5,1.5,0,,,,
35,08/08/2014,,eey9,1,4,59.4,1.7,1,,,,
35,08/08/2014,,eey9,1,5,59.8,1.7,1,,,,
35,08/08/2014,,eey9,1,6,61,1.9,1,,,,
35,08/08/2014,,eey9,1,7,57.3,1.7,1,,,,
35,08/08/2014,,eey9,1,8,43.1,1.5,1,,,,
35,08/08/2014,,eey9,1,9,28.3,1.1,1,,,,
35,08/08/2014,,eey9,1,10,11.8,0.5,1,,,,
35,15/08/2014,,eey9,1,0,,,,99,172,,
35,15/08/2014,,eey9,1,1,12,1.4,1,,,,
35,15/08/2014,,eey9,1,2,32.7,1.4,1,,,,
35,15/08/2014,,eey9,1,3,41.5,1.5,0,,,,
35,15/08/2014,,eey9,1,4,59.4,1.7,1,,,,
35,15/08/2014,,eey9,1,5,59.8,1.7,1,,,,
35,15/08/2014,,eey9,1,6,61,1.9,1,,,,
35,15/08/2014,,eey9,1,7,57.3,1.7,1,,,,
35,15/08/2014,,eey9,1,8,43.1,1.5,1,,,,
35,15/08/2014,,eey9,1,9,28.3,1.1,1,,,,
35,15/08/2014,,eey9,1,10,11.8,0.5,1,,,,
35,23/08/2014,,eey9,1,0,,,,83,168,,
35,23/08/2014,,eey9,1,1,12,1.4,1,,,,
35,23/08/2014,,eey9,1,2,32.7,1.4,1,,,,
35,23/08/2014,,eey9,1,3,41.5,1.5,0,,,,
35,23/08/2014,,eey9,1,4,59.4,1.7,1,,,,
35,23/08/2014,,eey9,1,5,59.8,1.7,1,,,,
35,23/08/2014,,eey9,1,6,61,1.9,1,,,,
35,23/08/2014,,eey9,1,7,57.3,1.7,1,,,,
35,23/08/2014,,eey9,1,8,43.1,1.5,1,,,,
35,23/08/2014,,eey9,1,9,28.3,1.1,1,,,,
35,23/08/2014,,eey9,1,10,11.8,0.5,1,,,,
35,26/08/2014,,eey9,1,0,,,,72,168,,
35,26/08/2014,,eey9,1,1,12,1.4,1,,,,
35,26/08/2014,,eey9,1,2,32.7,1.4,1,,,,
35,26/08/2014,,eey9,1,3,41.5,1.5,0,,,,
35,26/08/2014,,eey9,1,4,59.4,1.7,1,,,,
35,26/08/2014,,eey9,1,5,59.8,1.7,1,,,,
35,26/08/2014,,eey9,1,6,61,1.9,1,,,,
35,26/08/2014,,eey9,1,7,57.3,1.7,1,,,,
35,26/08/2014,,eey9,1,8,43.1,1.5,1,,,,
35,26/08/2014,,eey9,1,9,28.3,1.1,1,,,,
35,26/08/2014,,eey9,1,10,11.8,0.5,1,,,,
35,01/09/2014,,eey9,1,0,,,,72,168,,
35,01/09/2014,,eey9,1,1,12,1.4,1,,,,
35,01/09/2014,,eey9,1,2,32.7,1.4,1,,,,
35,01/09/2014,,eey9,1,3,41.5,1.5,0,,,,
35,01/09/2014,,eey9,1,4,59.4,1.7,1,,,,
35,01/09/2014,,eey9,1,5,59.8,1.7,1,,,,
35,01/09/2014,,eey9,1,6,61,1.9,1,,,,
35,01/09/2014,,eey9,1,7,57.3,1.7,1,,,,
35,01/09/2014,,eey9,1,8,43.1,1.5,1,,,,
35,01/09/2014,,eey9,1,9,28.3,1.1,1,,,,
35,01/09/2014,,eey9,1,10,11.8,0.5,1,,,,
35,13/09/2014,,eey9,1,0,,,,74,165,,
35,13/09/2014,,eey9,1,1,12,1.4,1,,,,
35,13/09/2014,,eey9,1,2,32.7,1.4,1,,,,
35,13/09/2014,,eey9,1,3,41.5,1.5,0,,,,
35,13/09/2014,,eey9,1,4,59.4,1.7,1,,,,
35,13/09/2014,,eey9,1,5,59.8,1.7,1,,,,
35,13/09/2014,,eey9,1,6,61,1.9,1,,,,
35,13/09/2014,,eey9,1,7,57.3,1.7,1,,,,
35,13/09/2014,,eey9,1,8,43.1,1.5,1,,,,
35,13/09/2014,,eey9,1,9,28.3,1.1,1,,,,
35,13/09/2014,,eey9,1,10,11.8,0.5,1,,,,
35,17/09/2014,,eey9,1,0,,,,88,156,,
35,17/09/2014,,eey9,1,3,41.5,1.5,0,,,,
35,17/09/2014,,eey9,1,4,59.4,1.7,1,,,,
35,17/09/2014,,eey9,1,5,59.8,1.7,1,,,,
