Date,site_id,PAR,t_max,t_min,rainfall_mm
01/01/2014,BSBEC,1.413120264,6.729,4.997,4.0629166667
02/01/2014,BSBEC,0.49389389,11.12,4.249,5.025
03/01/2014,BSBEC,0.219893538,9.31,5.916,1.206
04/01/2014,BSBEC,1.115019692,9.24,5.204,9.246
05/01/2014,BSBEC,0.569702769,6.138,3.477,4.221
06/01/2014,BSBEC,0.570112615,11.67,3.31,4.02
07/01/2014,BSBEC,0.585367912,9.62,8,20.301
08/01/2014,BSBEC,1.046444835,9.69,7.434,1.608
09/01/2014,BSBEC,0.432822066,9.57,5.875,15.276
10/01/2014,BSBEC,0.893379956,9.07,4.987,1.005
11/01/2014,BSBEC,1.442666374,9.41,4.523,4.221
12/01/2014,BSBEC,1.650934681,8.34,-0.168,0.201
13/01/2014,BSBEC,0.647121758,8.13,0.549,0.402
14/01/2014,BSBEC,1.064525538,7.203,3.123,11.256
15/01/2014,BSBEC,1.038824703,8.99,3.107,8.643
16/01/2014,BSBEC,0.852000527,10.17,6.209,6.834
17/01/2014,BSBEC,1.228563692,8.4,4.69,1.005
18/01/2014,BSBEC,0.51711033,6.643,4.679,4.623
19/01/2014,BSBEC,0.767345143,8.55,4.992,5.427
20/01/2014,BSBEC,2.210214857,7.939,2.592,6.432
21/01/2014,BSBEC,1.27099622,7.52,1.303,1.206
22/01/2014,BSBEC,0.649462945,7.425,1.09,1.005
23/01/2014,BSBEC,0.86536167,7.718,4.886,1.206
24/01/2014,BSBEC,0.788868396,6.774,5.285,2.211
25/01/2014,BSBEC,0.321527473,9.6,4.27,18.492
26/01/2014,BSBEC,1.06452,9.6,5.23,3.417
27/01/2014,BSBEC,0.60372633,8.25,4.063,7.035
28/01/2014,BSBEC,1.329039297,6.83,4.129,4.623
29/01/2014,BSBEC,0.775192352,6.875,5.255,12.864
30/01/2014,BSBEC,1.430157363,7.989,3.451,1.407
31/01/2014,BSBEC,1.229676923,3.169,-0.381,0
01/02/2014,BSBEC,0.305805363,7.197,0.089,4.221
02/02/2014,BSBEC,0.93365011,7.218,2.219,6.03
03/02/2014,BSBEC,2.389964044,8.67,6.189,0.201
04/02/2014,BSBEC,1.486687648,8.21,3.239,1.809
05/02/2014,BSBEC,3.035108571,8.22,1.576,3.618
06/02/2014,BSBEC,1.243553143,8.09,4.795,10.854
07/02/2014,BSBEC,0.938738374,7.597,2.512,5.226
08/02/2014,BSBEC,2.866518593,7.793,2.467,6.432
09/02/2014,BSBEC,1.419589978,7.314,4.638,10.05
10/02/2014,BSBEC,1.197912264,6.961,2.137,0.804
11/02/2014,BSBEC,1.663932659,6.169,1.086,2.211
12/02/2014,BSBEC,2.783466989,5.946,0.358,18.894
